,Unnamed: 0,Date,User,Tweet,translated
10,10,2022-05-06 13:32:52+00:00,rapplerdotcom,"@ramboreports Lacson thanks his running mate Tito Sotto for not leaving him despite alleged offers: Sabi niya, hindi ko iiwan si Ping Lacson dahil nagsimula kaming lumahok sa laban na ito at matatapos kami na magkasama. Maraming salamat, partner. #PHVote #WeDecide 

https://t.co/7tg9W8JS2S","@RamborePorts Lacson thanks his running mate Tito Sotto for not leaving him despite alleged offers: He said, I will not leave Ping Lacson because we started to participate in this fight and we will end up together.Thank you, partner.#Phvote #wedecide

https://t.co/7TG9W8js2s"
11,11,2022-05-06 13:32:27+00:00,delighttsvt,bakit naman tito sotto paaaaa 🥹,Why Tito Sotto Paaaaa 🥹
12,12,2022-05-06 13:23:16+00:00,radyopilipinas1,TINGNAN I Nagpahayag rin ng suporta ang aktor na si Vic Sotto sa kanyang kapatid na si vice presidential bet Tito Sotto at kay independent presidential candidate Ping Lacson. I via Nimfa Asuncion https://t.co/5b9OlBORim,See I also expressed support for actor Vic Sotto to his brother Vice Presidential Bet Tito Sotto and Independent Presidential Candidate Ping Lacson.I via Nimfa Asuncion https://t.co/5B9olBorim
13,13,2022-05-06 13:20:44+00:00,HanaBordey,"Presidential candidate Ping Lacson &amp; VP bet Tito Sotto make a grand entrance here in their miting de avance here at Verdant Square in Carmona, Cavite. @gmanews @gmanewsbreaking https://t.co/441z7vnvGT","Presidential candidate Ping Lacson &amp; VP bet Tito Sotto make a grand entrance here in their miting de avance here at Verdant Square in Carmona, Cavite. @gmanews @gmanewsbreaking https://t.co/441z7vnvGT"
14,14,2022-05-06 13:17:48+00:00,GergCahiles,"VP candidate Senate President Tito Sotto advocating the bottom-up budgeting system in the government: Gusto namin, bagong pulitika... Budget reform ang sagot namin diyan. #TheFilipinoVotes @cnnphilippines","VP candidate Senate President Tito Sotto advocating the bottom-up budgeting system in the government: We want, new politics ... Budget reform is our answer to that.#TheFilipinovotes @cnnphilippines"
15,15,2022-05-06 13:13:56+00:00,rapplerdotcom,"@ramboreports Vice presidential candidate Tito Sotto now delivers his miting de avance speech. Sets backdrop of a Philippines plagued crises. #PHVote #WeDecide | via @ramboreports

WATCH: https://t.co/7tg9W8JS2S https://t.co/8D2Ju6pxhb","@ramororopports VER Presidential Candidate Cito Sito Sotto Nov Del Gowl Del Glag SILD MITINGS MOVING THE ADVANCE SPEIGHT.Sets Backdrop off and Philippines Plagued Crises.#Phavote #wedocide |Via @ramboroports

WATCH: https://t.co/7tg9w8js2s2s https://t.co/8d2ju6pxb"
16,16,2022-05-06 13:13:22+00:00,ramboreports,"Vice presidential candidate Tito Sotto now delivers his miting de avance speech. Sets backdrop of a Philippines plagued crises. 

 #PHVote #WeDecide https://t.co/3GuaznZlEe","Vice presidential candidate Tito Sotto now delivers his miting de avance speech. Sets backdrop of a Philippines plagued crises. 

 #PHVote #WeDecide https://t.co/3GuaznZlEe"
17,17,2022-05-06 13:10:43+00:00,rapplerdotcom,"@ramboreports Vic Sotto: Si Tito Sotto ang vice president ko dahil alam ko ang totoo. May magagawa siya para sa pamilyang Pilipino. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S","@RamborePorts Vic Sotto: Tito Sotto is my Vice President because I know the truth.There is something he can do for the Filipino family.#Phvote #wedecide

WATCH: https://t.co/7TG9W8JS2S"
18,18,2022-05-06 12:26:08+00:00,everblanchett,@anniextomorrow tito sotto multiverse 🥺 sadboi version,@anniextomorrow tito sotto multiverse 🥺 sadboi version
19,19,2022-05-06 12:22:21+00:00,anniextomorrow,@lovehontiveros HAHAHAHAHAHA omg migz na may tito sotto 😭😭😭😭,@lovehontiveros hahahahahaha omg migz with tito sotto 😭😭😭😭
20,20,2022-05-06 12:06:21+00:00,HanaBordey,"Actress Kakai Bautista now entertaining the audience here at Lacson-Sotto’s miting de avance in Carmona, Cavite. She is wearing a shirt with VP bet Tito Sotto’s photo. @gmanewsbreaking @gmanews https://t.co/EcJnazqrj6","Actress Kakai Bautista now entertaining the audience here at Lacson-Sotto’s miting de avance in Carmona, Cavite. She is wearing a shirt with VP bet Tito Sotto’s photo. @gmanewsbreaking @gmanews https://t.co/EcJnazqrj6"
21,21,2022-05-06 12:06:06+00:00,fairyteeel,"Kyut ni kuyang nabigyan ko ng flyer kanina, ""Ma'am, Leni ako pero VP ko si Tito Sotto ha""

bat parang nagpapaalam ka po sakin 🥹 HAHAHAHAHAH","Kuyang I gave a flyer earlier, ""Ma'am, I'm Leni but I vp Tito Sotto ha""

Bat seems like you're saying goodbye to me 🥹 hahahahahah"
22,22,2022-05-06 11:58:53+00:00,ABSCBNNews,"Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite.

Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) | via @willardcheng 
#Halalan2022   https://t.co/73w7GOwfqd","Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite.

Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) | via @willardcheng 
#Halalan2022   https://t.co/73w7GOwfqd"
23,23,2022-05-06 11:55:54+00:00,inquirerdotnet,"@CMRamosINQ He also cites Sotto’s grandfather, Vicente Sotto, who once served as a senator. 

“Pinagpatuloy niya (Tito Sotto) po yung mga magandang nagawa niya para sa bayan.” #VotePH | @CMRamosINQ","@Cmramosinq He also cites Sotto's grandfather, Vicente Sotto, who once served as a senator.

""He (Tito Sotto) continued the good things he had done for the people.""#VotePH |@Cmramosinq"
24,24,2022-05-06 11:55:03+00:00,christiaramos_,"He also cites Sotto’s grandfather, Vicente Sotto, who once served as a senator. 

“Pinagpatuloy niya (Tito Sotto) po yung mga magandang nagawa niya para sa bayan.” | @inquirerdotnet","He also cites Sotto's grandfather, Vicente Sotto, who once served as a senator.

""He (Tito Sotto) continued the good things he had done for the people.""|@inquiredotnet"
25,25,2022-05-06 11:47:44+00:00,willardcheng,"Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite. Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) https://t.co/luDRmrgysf","Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite. Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) https://t.co/luDRmrgysf"
26,26,2022-05-06 11:18:18+00:00,jeonghooniie,"My dad's VP is actually tito sotto but today he said to me that he will now vote for senator kiko 🥺💗 

Huling araw ng pagkampanya bukas, hindi pa huli ang lahat para mag bago ang isip na iboto ang mga karapat dapat.","My Dad's VP is actually Tito Sotto but today he said to me that he will now vote for Senator Kiko 🥺💗

Last day of campaign tomorrow, it is not too late for the mind to vote for the worthy."
27,27,2022-05-06 11:05:30+00:00,rural_sg,"VICE PRESIDENT
Kiko Pangilinan - 117 (94.4%)
Vicente Tito Sotto - 3 (2.4%)
Doc Willie Ong - 2 (1.6%)
Walden Bello - 1 (0.8%)
Sara Duterte - 1 (0.8%)
*The rest of the candidates gained 0 votes.

#BumotoKa 
#Halalan2022
#2022UPRHSMockElections
#HandaSaHalalan","Vice President
Kiko Pangilinan - 117 (94.4%)
Vicente Tito Sotto - 3 (2.4%)
Doc Willie Ong - 2 (1.6%)
Walden Bello - 1 (0.8%)
Sara Duterte - 1 (0.8%)
*The Rest of the Candidates Gained 0 Votes.

#bumotoka
#halalan2
#2022uprhsmocketlections
#handasahalalan"
28,28,2022-05-06 10:48:28+00:00,radyopilipinas1,"PANOORIN I Base sa initial crowd estimate mula sa Lacson-Sotto team, nasa 50,000 na ang tao ngayon sa miting de avance nina presidential candidate Ping Lacson at vice presidential bet Tito Sotto na ginaganap sa Carmona, Cavite. I via Nimfa Asuncion https://t.co/xCnhg98Slh","Watch I based on the initial crowd estimate from the Lacson-Sotto team, there are 50,000 people today at the Avance meeting of Presidential Candidate Ping Lacson and Vice Presidential Bet Tito Sotto held in Carmona, Cavite.I via nimfa asuncion https://t.co/xcnhg98slh"
29,29,2022-05-06 10:36:50+00:00,radyopilipinas1,"TINGNAN I Nagsisimula na ang programa ng miting de avance nina presidential candidate Ping Lacson at vice presidential candidate Tito Sotto. Nagsisilbing host ngayon ang Eat Bulaga hosts na sina Allan K, Pauleen Luna at ang anak ni Sotto na si Ciara Sotto. I via Nimfa Asuncion https://t.co/ArU78RaxAP","See I have begun the program of the Avance meeting of Presidential Candidate Ping Lacson and Vice Presidential Candidate Tito Sotto.Eat Bulaga hosts Allan K, Pauleen Luna and Sotto's son Ciara Sotto are hosting today.I via nimfa asuncion https://t.co/aru78raxap"
30,30,2022-05-06 10:26:28+00:00,rapplerdotcom,"LOOK: Celebrities Ciara Sotto, Pauleen Luna and Alan K serve as hosts for the miting de avance of presidential candidate Ping Lacson and running mate Tito Sotto. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S https://t.co/fqdzV4qNH8","LOOK: Celebrities Ciara Sotto, Pauleen Luna and Alan K serve as hosts for the miting de avance of presidential candidate Ping Lacson and running mate Tito Sotto. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S https://t.co/fqdzV4qNH8"
31,31,2022-05-06 10:24:05+00:00,HanaBordey,"Dabarkads Pauleen Luna, Allan K. &amp; Ciara Sotto are the hosts for tonight’s miting de avance of presidential bet Ping Lacson &amp; VP bet Tito Sotto. @gmanews @gmanewsbreaking https://t.co/kIV93MJCyT","Dabarkads Paulleen Luna, Allan K. &amp;Ciara Sotto Are the Hosts for Tonight’s Meeting De Avance of Presidential Bet Ping Lacson &amp;VP Bet Tito Sotto.@gmanews @gmanewsbreaking https://t.co/kiv93mjcyt"
32,32,2022-05-06 10:13:12+00:00,itsmaggiebtw,"i don’t care if he’s been joining your dad’s bible study sessions all throughout quarantine. tito sotto has never shown any remorse for what he’s done not only to pepsi paloma, but also to other women he’s openly harassed and disrespected.","i don’t care if he’s been joining your dad’s bible study sessions all throughout quarantine. tito sotto has never shown any remorse for what he’s done not only to pepsi paloma, but also to other women he’s openly harassed and disrespected."
33,33,2022-05-06 10:04:59+00:00,rapplerdotcom,"Leila's brother, Vicboy, take to the stage to campaign for the detained senator. 

The crowd shouts 'hustisya' as Vicboy continues his speech, calling on Senate President President Tito Sotto, a vice presidential candidate, to investigate on the retractions. #PHVote #WeDecide https://t.co/gvem2HeQal","Leila's brother, Vicboy, take to the stage to campaign for the detained senator. 

The crowd shouts 'hustisya' as Vicboy continues his speech, calling on Senate President President Tito Sotto, a vice presidential candidate, to investigate on the retractions. #PHVote #WeDecide https://t.co/gvem2HeQal"
34,34,2022-05-06 10:04:35+00:00,HanaBordey,"LOOK: Supporters of Lacson-Sotto tandem start to gather here at Verdant Square for their miting de avance. Presidential candidate Ping Lacson &amp; VP bet Tito Sotto will be joined by Senate bets: Eleazar, Ejercito, Minguita Padilla, Piñol &amp; Honasan @gmanewsbreaking @gmanews https://t.co/OdBDjhEAT8","LOOK: Supporters of Lacson-Sotto Tandem Start to Gather here at Verdant Square for their meeting de avance.Presidential candidate Ping Lacson &amp;VP Bet Tito Sotto Will Be joined by Senate Bets: Eleazar, Ejercito, Minguita Padilla, Piñol &amp;Honasan @gmanewsbreaking @gmanews https://t.co/odbdjheat8"
35,35,2022-05-06 09:50:04+00:00,mindobdob,"tito sotto
ka leody de guzman
entienza lito
doc willie ong
ejercito
estrada
macapagal
duterte
solid north
crowdfunding
medicaid
photography
women
cryptocurrency
happy birthday
funny
contest
giveaway
tuesday motivation
monday
friday
travel
vegan
ootd
tbt
win
authentication
contest https://t.co/fdCqVs7EJ0","tito sotto
ka leody de guzman
entienza lito
doc willie ong
ejercito
estrada
macapagal
duterte
solid north
crowdfunding
medicaid
photography
women
cryptocurrency
happy birthday
funny
contest
giveaway
tuesday motivation
monday
friday
travel
vegan
ootd
tbt
win
authentication
contest https://t.co/fdCqVs7EJ0"
36,36,2022-05-06 09:23:51+00:00,juperf1,"@TishaCM magka-mag-anak ba si sharon at tito sotto , pero alam nman nila na nauna na c tito nag declare, pero asawa ni sharon na vice rin, gahaman rin talaga asawa ni sharon, but in the end lahat sila inodoro.","@Tishacm Sharon and Tito Sotto have children, but they know that Tito has been declared before, but Sharon's wife is also a vice, but in the end they are all inodoro."
37,37,2022-05-06 09:11:30+00:00,MstrCrab888,"@ABSCBNNews Thank you. Kayo din yung gusto magpaQuit kay Sen Kiko for Sen Tito Sotto, right?","@Abscbnnews thank you.You also want to have Sen Kiko for Sen Tito Sotto, right?"
38,38,2022-05-06 09:06:29+00:00,rapplerdotcom,"WATCH: Presidential candidate Panfilo Lacson and running mate Vicente “Tito” Sotto III hold their miting de avance in Carmona, Cavite on Friday, May 6. #PHVote #WeDecide 

LIVE UPDATES: https://t.co/3pPU29DtQt https://t.co/HwgXlM0BJL","WATCH: Presidential candidate Panfilo Lacson and running mate Vicente “Tito” Sotto III hold their miting de avance in Carmona, Cavite on Friday, May 6. #PHVote #WeDecide 

LIVE UPDATES: https://t.co/3pPU29DtQt https://t.co/HwgXlM0BJL"
39,39,2022-05-06 08:32:00+00:00,keiroronnshin,"SHUTA ANONG MUKTIVERSE YON,, MAY NAKITA AKONG LENI ROBREDO AND TITO SOTTO POSTER AJRBIWNDK?!?!??!?!?!?@(@??×","Shuta what muktiverse yon ,, i saw leni robredo and tito sotto poster ajrbiwndk?!?! ??!?!?!?@(@?? × ×"
40,40,2022-05-06 08:17:12+00:00,gomasterpieceX7,Tito sotto sagot haha! Di kita didiktahan sa iboboto mo mama gnyan kita kamahal haha! Kht ayaw ko kay sotto🤣 https://t.co/xTgrfnpPaf,Tito sotto answer haha!I DON'T DON'T HAVE TO VOTE YOU MAMA GNANYAN KAY LOVED HAHA!Kht i don't like sotto🤣 https://t.co/XTGRFNPPAF
41,41,2022-05-06 08:12:28+00:00,2minDig,Habang ineendorso naman ni David ang kaniyang kalaban na si Senate President Vicente “Tito” Sotto III sa pagka-Bise Presidente.,"David, meanwhile, endorsed his opponent, Senate President Vicente “Tito” Sotto III in vice president."
42,42,2022-05-06 08:04:31+00:00,absolutelykeipi,Is it not enough that he did not endorse his uncle Tito Sotto? Vico and VP Leni are not even on the same party list. Wag po natin ipressure si Vivico. Some people tend to overlook Vico's standard leadership and good deeds over a small shortcoming. Hayy 😩,Is it not enough that he did not endorse his uncle Tito Sotto? Vico and VP Leni are not even on the same party list. Wag po natin ipressure si Vivico. Some people tend to overlook Vico's standard leadership and good deeds over a small shortcoming. Hayy 😩
43,43,2022-05-06 07:11:34+00:00,SHALvus_,"VP LENI IS MY PRESIDENT
TITO SOTTO IS MY VICE PRESIDENT 

SORRY PO. 🥺🥺","VP LENI IS MY PRESIDENT
TITO SOTTO IS MY VICE PRESIDENT 

SORRY PO. 🥺🥺"
44,44,2022-05-06 07:11:10+00:00,Sagisagph,"David said he is supporting Robredo as she has the chance of winning over Ferdinand “Bongbong” Marcos Jr. 

Full story: https://t.co/phwEMeioxx

#Election2022
#LeniRobredo
#TitoSotto https://t.co/OJJzmkwW7G","David said he is supporting Robredo as she has the chance of winning over Ferdinand “Bongbong” Marcos Jr. 

Full story: https://t.co/phwEMeioxx

#Election2022
#LeniRobredo
#TitoSotto https://t.co/OJJzmkwW7G"
45,45,2022-05-06 06:58:28+00:00,itsmaggiebtw,anyone who openly endorses and votes for tito sotto is spitting at the grave of pepsi paloma. i barely expect anything from the church leaders yet i’m still utterly disappointed that they’d endorse him. kadiri.,anyone who openly endorses and votes for tito sotto is spitting at the grave of pepsi paloma. i barely expect anything from the church leaders yet i’m still utterly disappointed that they’d endorse him. kadiri.
46,46,2022-05-06 06:14:36+00:00,onenewsph,"He also asks the public to vote for his rival Sen. Tito Sotto for vice president.

David previously called for a grand coalition to defeat the Marcos-Duterte tandem, which is leading the pre-election surveys. #BilangPilipino2022","He also asks the public to vote for his rival Sen. Tito Sotto for vice president.

David previously called for a grand coalition to defeat the Marcos-Duterte tandem, which is leading the pre-election surveys. #BilangPilipino2022"
47,47,2022-05-06 05:53:19+00:00,japtobias,"Peke. Kasinungalingan. Kaplastikan. 

Sana nagaalign ang words sa actions, lalo na kay Tito Sotto. 

Di ba siya tong pasabi-sabi na ""no chance"" pumasa ang SOGIE Equality Bill sa senado dahil focused ito sa mga ""gays"" and pinipilit mo na it impedes religious and academic freedom?","Fake.Lie.Kaplasthanan.

Hopefully the words are aligned with actions, especially Tito Sotto.

Didn't he say that ""No Chance"" passed the Sogie Equality Bill to the Senate because it focused on the ""gays"" and forced it to impedes religious and academic freedom?"
48,48,2022-05-06 05:26:53+00:00,pedrorichter,Nagpahayag ng suporta si vice presidential bet Rizalito David kay presidential candidate Leni Robredo matapos unang iendorso ang katunggali niya sa pagkabise na si Tito Sotto https://t.co/rkajhB7oWM,Vice Presidential Bet Rizalito David expressed his support to Presidential Candidate Leni Robredo after his opponent was first endorsed by his opponent Tito Sotto https://t.co/rkajhb7owm
49,49,2022-05-06 05:12:07+00:00,News5PH,"Ayon kay David, sinusuportahan niya si Robredo dahil siya ang maaaring makatalo kay Bongbong Marcos. Inendorso rin niya ang katunggaling si Senate Pres. Tito Sotto.","According to David, he supports Robredo because he can defeat Bongbong Marcos.He also endorsed Senate Pres.Tito Sotto."
50,50,2022-05-06 04:46:41+00:00,BobReye68206730,@PhilippineStar Why? Are you saying Shawie that your uncle Tito Sotto is not decent to be a VP? Mahiya ka sa lahi nyo.,@PhilipPtestar why?Are you saying Shawie that your uncle Tito Sotto is not decent to be a VP?Shame on your race.
51,51,2022-05-06 04:36:11+00:00,prismat90810385,@PhilstarNews thank you tito sotto for describing who leni robredo is.,@PhilstarNews thank you tito sotto for describing who leni robredo is.
52,52,2022-05-06 04:21:46+00:00,perlSD79,@ichicklet @yuyunbibin @joketerte30 I dont know why u kept saying loyal even if i change my choice it's for ping lacson and tito sotto so 🤷‍♀️🤷‍♀️🤷‍♀️,@ichicklet @yuyunbibin @joketerte30 I dont know why u kept saying loyal even if i change my choice it's for ping lacson and tito sotto so 🤷‍♀️🤷‍♀️🤷‍♀️
53,53,2022-05-06 03:45:00+00:00,onenewsph,"David made the remark during the COMELEC and KBP #PiliPinasForum2022.

David also appeals to the public to support his rival Sen. Pres. Tito Sotto for the vice presidency. #BilangPilipino2022","David made the remark during the COMELEC and KBP #PiliPinasForum2022.

David also appeals to the public to support his rival Sen. Pres. Tito Sotto for the vice presidency. #BilangPilipino2022"
54,54,2022-05-06 03:42:46+00:00,Plaridel_DLSU,"INENDOSO ni vice presidential aspirant Rizalito David sina Bise Presidente Leni Robredo at Senador Tito Sotto III sa pagka-pangulo at pagka-bise presidente. Gayunpaman, nilinaw ni David na hindi siya aatras sa #Halalan2022. | mula @ABSCBNNews https://t.co/XvBZF8f8s1","Vice Presidential Aspirant Rizalito David endorsed Vice President Leni Robredo and Senator Tito Sotto III in the presidency and vice president.However, David made it clear that he would not withdraw from #Election2022.|From @abscbnnews https://t.co/xvbzF8S1"
55,55,2022-05-06 03:23:05+00:00,ABSCBNNews,"JUST IN: Nagpahayag ng suporta si vice presidential bet Rizalito David kay presidential candidate Leni Robredo matapos unang iendorso ang katunggali niya sa pagkabise na si Tito Sotto. | via @sherieanntorres #Halalan2022 

Kaugnay na ulat: https://t.co/oIchz2sHtq https://t.co/vfHmXzqt7j","JUST IN: Vice Presidential Bet Rizalito David expressed support to Presidential Candidate Leni Robredo after his opponent of Tito Sotto first endorsed his opponent.|via @SherieAntorres #Election2022

Related Report: https://t.co/oichz2Shtq https://t.co/vfhmxzQt7j"
56,56,2022-05-06 03:20:49+00:00,DZMMTeleRadyo,"JUST IN: Nagpahayag ng suporta si vice presidential bet Rizalito David kay presidential candidate Leni Robredo matapos unang iendorso ang katunggali niya sa pagkabise na si Tito Sotto. | via @sherieanntorres

Kaugnay na ulat:  https://t.co/XgULWAjMn5 https://t.co/qgu55xXgsu","JUST IN: Vice Presidential Bet Rizalito David expressed support to Presidential Candidate Leni Robredo after his opponent of Tito Sotto first endorsed his opponent.|via @SherieAntorres

Related Report: https://t.co/xgulwajmn5 https://t.co/QGU55xxgsu"
57,57,2022-05-06 03:07:11+00:00,wigaile,"Naa na koy gamit para dili i vote sa akong lola si Tito sotto!!!!! 

JUDY TAGUIWALO!","I already have to use it to vote for my grandma sotto !!!!!

Judy Taguiwalo!"
58,58,2022-05-06 02:27:30+00:00,hashtags__ofc,MASTER HENYO AngPoetNyo: Tito Sotto sa Vice tayo! https://t.co/tnXMpUQZkz,Master Henyo AngPoetnyo: Tito Sotto in Vice Tayo!https://t.co/tnxmpuqzkz
59,59,2022-05-06 02:16:53+00:00,AngPoetNyo,Tito Sotto sa Vice tayo! https://t.co/gGqmQP8lbJ,Tito Sotto in vice tayo!https://t.co/GGQMQP8LBJ
60,60,2022-05-06 01:40:32+00:00,akosibatibot16,@mongramosjr Lakas tlaga ng loob at paniniwala nito ni Kiko na mananalo sya? Hindi nya nga maunahan si Tito Sotto sa surveys. Ang KAPAL.,@mongramosjr strength of the heart and believes it is Kiko that he will win?He could not lead Tito Sotto to surveys.Thick.
61,61,2022-05-06 01:30:00+00:00,onenewsph,"Health protocols set by the IATF will be strictly observed during the canvassing of votes at the Senate and all personnel involved must be fully vaccinated, Senate President Tito Sotto says. #BilangPilipino2022
https://t.co/24YVtF1869","Health protocols set by the IATF will be strictly observed during the canvassing of votes at the Senate and all personnel involved must be fully vaccinated, Senate President Tito Sotto says. #BilangPilipino2022
https://t.co/24YVtF1869"
62,62,2022-05-06 00:32:03+00:00,PaulVil94994403,@sejoalzir Baka Tito sotto not kiko,@Sejoalzir of Tito sotto not kiko
63,63,2022-05-05 23:30:00+00:00,manilabulletin,"Actress-singer Ciara Sotto thanked fellow showbiz personality Marissa Sanchez for supporting the tandem of Ping Lacson and Tito Sotto in the upcoming May 9 national elections.

https://t.co/ZI2wV0NSTs","Actress-singer Ciara Sotto thanked fellow showbiz personality Marissa Sanchez for supporting the tandem of Ping Lacson and Tito Sotto in the upcoming May 9 national elections.

https://t.co/ZI2wV0NSTs"
64,64,2022-05-05 23:07:39+00:00,pweetne,@LilMsMalditaMD True 🤣🤣🤣 pati nga sariling bise ni leni handang ilaglag maipasok lang si tito sotto 🤣🤣🥴🥴🥴,@lilmsmalditamd true 🤣🤣🤣 even the sariling vice of Leni Handang Ilalag I just put Tito Sotto 🤣🤣🥴🥴
65,65,2022-05-05 22:36:29+00:00,radyopilipinas1,"Inaccuracies ng mga pre-election surveys, mapapatunayan ng resulta ng botohan sa Lunes — VP bet Tito Sotto  https://t.co/HEWOE10iv8","Inaccuracies of pre-election surveys, voting results on Monday-VP Bet Tito Sotto https://t.co/Hewoe10IV8"
66,66,2022-05-05 20:32:41+00:00,Astgsopbruh,@giancantdance Si Ping ang tingin ko support niya because of tito sotto,@giancantdance ping i think he supports because of tito sotto
67,67,2022-05-05 20:25:01+00:00,BarristanKnight,@GManicurist @Angiemeadking HAHAHAHAHHAHAA baka nga kay tito sotto di manalo to eh🤣🤣🤣,@Gmanicurist @angiemeadking hahahahahhahaa maybe Tito Sotto di Manalo to eh
68,68,2022-05-05 19:33:43+00:00,clngholland,@pilipinoir @ABSCBNNews Idk why people don’t understand na uncle nya si tito sotto and don pla mgkakaroon na ng conflict if he ever support leni. So taking a stance is difficult for him lalo na pag pamilya yung usapan 🫠🫠🫠,@pilipinoir @abscbnnews idk why people don't understand that his uncle is tito sotto and don pla will have a conflict if he ever support Leni.So taking a stance is difficult for him especially the family talk 🫠🫠🫠
69,69,2022-05-05 19:21:07+00:00,jjoossh_,Nasaan kayo when Duterte repeatedly cursed the Pope. Nasaan kayo nung tinawag ni Tito Sotto ang solo parents na “na-ano” lang. Nasaan kayo nung Duterte kept on creating statements that objectify women and even said that “women cannot run the country”.,"Where are you when Duterte repeatedly cursed the pope.Where were you when Tito Sotto called the solo parents just ""what"".Where are you from Duterte kept on creating statements that objectify women and even said that “women cannot run the country”."
