,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User,Tweet,translated,Positive,Negative,Neutral,Compound,Sentiment,Cleaned
10,10,10,10,2022-05-06 13:32:52+00:00,rapplerdotcom,"@ramboreports Lacson thanks his running mate Tito Sotto for not leaving him despite alleged offers: Sabi niya, hindi ko iiwan si Ping Lacson dahil nagsimula kaming lumahok sa laban na ito at matatapos kami na magkasama. Maraming salamat, partner. #PHVote #WeDecide 

https://t.co/7tg9W8JS2S","@RamborePorts Lacson thanks his running mate Tito Sotto for not leaving him despite alleged offers: He said, I will not leave Ping Lacson because we started to participate in this fight and we will end up together.Thank you, partner.#Phvote #wedecide

https://t.co/7TG9W8js2s",0.092,0.068,0.84,0.0124,Neutral,lacson thank run mate tito sotto leav despit alleg offers  said  leav ping lacson start particip fight end together thank you  partner     
11,11,11,11,2022-05-06 13:32:27+00:00,delighttsvt,bakit naman tito sotto paaaaa 🥹,Why Tito Sotto Paaaaa 🥹,0.0,0.0,1.0,0.0,Neutral,tito sotto paaaaa
12,12,12,12,2022-05-06 13:23:16+00:00,radyopilipinas1,TINGNAN I Nagpahayag rin ng suporta ang aktor na si Vic Sotto sa kanyang kapatid na si vice presidential bet Tito Sotto at kay independent presidential candidate Ping Lacson. I via Nimfa Asuncion https://t.co/5b9OlBORim,See I also expressed support for actor Vic Sotto to his brother Vice Presidential Bet Tito Sotto and Independent Presidential Candidate Ping Lacson.I via Nimfa Asuncion https://t.co/5B9olBorim,0.097,0.0,0.903,0.4019,Positive,see also express support actor vic sotto brother vice presidenti bet tito sotto independ presidenti candid ping lacson i via nimfa asuncion
13,13,13,13,2022-05-06 13:20:44+00:00,HanaBordey,"Presidential candidate Ping Lacson &amp; VP bet Tito Sotto make a grand entrance here in their miting de avance here at Verdant Square in Carmona, Cavite. @gmanews @gmanewsbreaking https://t.co/441z7vnvGT","Presidential candidate Ping Lacson &amp; VP bet Tito Sotto make a grand entrance here in their miting de avance here at Verdant Square in Carmona, Cavite. @gmanews @gmanewsbreaking https://t.co/441z7vnvGT",0.1,0.0,0.9,0.4588,Positive,presidenti candid ping lacson  amp  vp bet tito sotto make grand entranc mite de avanc verdant squar carmona  cavite 
14,14,14,14,2022-05-06 13:17:48+00:00,GergCahiles,"VP candidate Senate President Tito Sotto advocating the bottom-up budgeting system in the government: Gusto namin, bagong pulitika... Budget reform ang sagot namin diyan. #TheFilipinoVotes @cnnphilippines","VP candidate Senate President Tito Sotto advocating the bottom-up budgeting system in the government: We want, new politics ... Budget reform is our answer to that.#TheFilipinovotes @cnnphilippines",0.048,0.0,0.952,0.0772,Positive,vp candid senat presid tito sotto advoc bottom up budget system government  want  new polit     budget reform answer that 
15,15,15,15,2022-05-06 13:13:56+00:00,rapplerdotcom,"@ramboreports Vice presidential candidate Tito Sotto now delivers his miting de avance speech. Sets backdrop of a Philippines plagued crises. #PHVote #WeDecide | via @ramboreports

WATCH: https://t.co/7tg9W8JS2S https://t.co/8D2Ju6pxhb","@ramororopports VER Presidential Candidate Cito Sito Sotto Nov Del Gowl Del Glag SILD MITINGS MOVING THE ADVANCE SPEIGHT.Sets Backdrop off and Philippines Plagued Crises.#Phavote #wedocide |Via @ramboroports

WATCH: https://t.co/7tg9w8js2s2s https://t.co/8d2ju6pxb",0.0,0.0,1.0,0.0,Neutral,ver presidenti candid cito sito sotto nov del gowl del glag sild mite move advanc speight set backdrop philippin plagu crises   via
16,16,16,16,2022-05-06 13:13:22+00:00,ramboreports,"Vice presidential candidate Tito Sotto now delivers his miting de avance speech. Sets backdrop of a Philippines plagued crises. 

 #PHVote #WeDecide https://t.co/3GuaznZlEe","Vice presidential candidate Tito Sotto now delivers his miting de avance speech. Sets backdrop of a Philippines plagued crises. 

 #PHVote #WeDecide https://t.co/3GuaznZlEe",0.0,0.0,1.0,0.0,Neutral,vice presidenti candid tito sotto deliv mite de avanc speech  set backdrop philippin plagu crises 
17,17,17,17,2022-05-06 13:10:43+00:00,rapplerdotcom,"@ramboreports Vic Sotto: Si Tito Sotto ang vice president ko dahil alam ko ang totoo. May magagawa siya para sa pamilyang Pilipino. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S","@RamborePorts Vic Sotto: Tito Sotto is my Vice President because I know the truth.There is something he can do for the Filipino family.#Phvote #wedecide

WATCH: https://t.co/7TG9W8JS2S",0.0,0.0,1.0,0.0,Neutral,vic sotto  tito sotto vice presid know truth ther someth filipino family 
18,18,18,18,2022-05-06 12:26:08+00:00,everblanchett,@anniextomorrow tito sotto multiverse 🥺 sadboi version,@anniextomorrow tito sotto multiverse 🥺 sadboi version,0.0,0.0,1.0,0.0,Neutral,tito sotto multivers sadboi version
19,19,19,19,2022-05-06 12:22:21+00:00,anniextomorrow,@lovehontiveros HAHAHAHAHAHA omg migz na may tito sotto 😭😭😭😭,@lovehontiveros hahahahahaha omg migz with tito sotto 😭😭😭😭,0.0,0.0,1.0,0.0,Neutral,hahahahahaha omg migz tito sotto
20,20,20,20,2022-05-06 12:06:21+00:00,HanaBordey,"Actress Kakai Bautista now entertaining the audience here at Lacson-Sotto’s miting de avance in Carmona, Cavite. She is wearing a shirt with VP bet Tito Sotto’s photo. @gmanewsbreaking @gmanews https://t.co/EcJnazqrj6","Actress Kakai Bautista now entertaining the audience here at Lacson-Sotto’s miting de avance in Carmona, Cavite. She is wearing a shirt with VP bet Tito Sotto’s photo. @gmanewsbreaking @gmanews https://t.co/EcJnazqrj6",0.094,0.0,0.906,0.4404,Positive,actress kakai bautista entertain audienc lacson sotto mite de avanc carmona  cavite  wear shirt vp bet tito sotto photo 
21,21,21,21,2022-05-06 12:06:06+00:00,fairyteeel,"Kyut ni kuyang nabigyan ko ng flyer kanina, ""Ma'am, Leni ako pero VP ko si Tito Sotto ha""

bat parang nagpapaalam ka po sakin 🥹 HAHAHAHAHAH","Kuyang I gave a flyer earlier, ""Ma'am, I'm Leni but I vp Tito Sotto ha""

Bat seems like you're saying goodbye to me 🥹 hahahahahah",0.25,0.0,0.75,0.7469,Positive,kuyang gave flyer earlier   ma am  i m leni vp tito sotto ha bat seem like say goodby hahahahahah
22,22,22,22,2022-05-06 11:58:53+00:00,ABSCBNNews,"Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite.

Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) | via @willardcheng 
#Halalan2022   https://t.co/73w7GOwfqd","Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite.

Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) | via @willardcheng 
#Halalan2022   https://t.co/73w7GOwfqd",0.0,0.0,1.0,0.0,Neutral,senat ping lacson  senat presid tito sotto arriv mite de avanc venu carmona  cavite initi crowd estim organizers     lacson sotto media  via
23,23,23,23,2022-05-06 11:55:54+00:00,inquirerdotnet,"@CMRamosINQ He also cites Sotto’s grandfather, Vicente Sotto, who once served as a senator. 

“Pinagpatuloy niya (Tito Sotto) po yung mga magandang nagawa niya para sa bayan.” #VotePH | @CMRamosINQ","@Cmramosinq He also cites Sotto's grandfather, Vicente Sotto, who once served as a senator.

""He (Tito Sotto) continued the good things he had done for the people.""#VotePH |@Cmramosinq",0.1,0.0,0.9,0.4404,Positive,also cite sotto  grandfather  vicent sotto  serv senator  h  tito sotto  continu good thing done people  
24,24,24,24,2022-05-06 11:55:03+00:00,christiaramos_,"He also cites Sotto’s grandfather, Vicente Sotto, who once served as a senator. 

“Pinagpatuloy niya (Tito Sotto) po yung mga magandang nagawa niya para sa bayan.” | @inquirerdotnet","He also cites Sotto's grandfather, Vicente Sotto, who once served as a senator.

""He (Tito Sotto) continued the good things he had done for the people.""|@inquiredotnet",0.108,0.0,0.892,0.4404,Positive,also cite sotto  grandfather  vicent sotto  serv senator  h  tito sotto  continu good thing done people   
25,25,25,25,2022-05-06 11:47:44+00:00,willardcheng,"Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite. Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) https://t.co/luDRmrgysf","Senator Ping Lacson, Senate President Tito Sotto arrive in Miting de Avance venue in Carmona, Cavite. Initial crowd estimate of organizers: 50,000

(📸: Lacson-Sotto Media) https://t.co/luDRmrgysf",0.0,0.0,1.0,0.0,Neutral,senat ping lacson  senat presid tito sotto arriv mite de avanc venu carmona  cavite  initi crowd estim organizers     lacson sotto media 
26,26,26,26,2022-05-06 11:18:18+00:00,jeonghooniie,"My dad's VP is actually tito sotto but today he said to me that he will now vote for senator kiko 🥺💗 

Huling araw ng pagkampanya bukas, hindi pa huli ang lahat para mag bago ang isip na iboto ang mga karapat dapat.","My Dad's VP is actually Tito Sotto but today he said to me that he will now vote for Senator Kiko 🥺💗

Last day of campaign tomorrow, it is not too late for the mind to vote for the worthy.",0.09,0.0,0.91,0.5927,Positive,dad  vp actual tito sotto today said vote senat kiko last day campaign tomorrow  late mind vote worthy 
27,27,27,27,2022-05-06 11:05:30+00:00,rural_sg,"VICE PRESIDENT
Kiko Pangilinan - 117 (94.4%)
Vicente Tito Sotto - 3 (2.4%)
Doc Willie Ong - 2 (1.6%)
Walden Bello - 1 (0.8%)
Sara Duterte - 1 (0.8%)
*The rest of the candidates gained 0 votes.

#BumotoKa 
#Halalan2022
#2022UPRHSMockElections
#HandaSaHalalan","Vice President
Kiko Pangilinan - 117 (94.4%)
Vicente Tito Sotto - 3 (2.4%)
Doc Willie Ong - 2 (1.6%)
Walden Bello - 1 (0.8%)
Sara Duterte - 1 (0.8%)
*The Rest of the Candidates Gained 0 Votes.

#bumotoka
#halalan2
#2022uprhsmocketlections
#handasahalalan",0.08,0.0,0.92,0.3818,Positive,vice presidentkiko pangilinan        vicent tito sotto       doc willi ong       walden bello       sara dutert        the rest candid gain votes 
28,28,28,28,2022-05-06 10:48:28+00:00,radyopilipinas1,"PANOORIN I Base sa initial crowd estimate mula sa Lacson-Sotto team, nasa 50,000 na ang tao ngayon sa miting de avance nina presidential candidate Ping Lacson at vice presidential bet Tito Sotto na ginaganap sa Carmona, Cavite. I via Nimfa Asuncion https://t.co/xCnhg98Slh","Watch I based on the initial crowd estimate from the Lacson-Sotto team, there are 50,000 people today at the Avance meeting of Presidential Candidate Ping Lacson and Vice Presidential Bet Tito Sotto held in Carmona, Cavite.I via nimfa asuncion https://t.co/xcnhg98slh",0.0,0.0,1.0,0.0,Neutral,watch base initi crowd estim lacson sotto team  peopl today avanc meet presidenti candid ping lacson vice presidenti bet tito sotto held carmona  cavite i via nimfa asuncion
29,29,29,29,2022-05-06 10:36:50+00:00,radyopilipinas1,"TINGNAN I Nagsisimula na ang programa ng miting de avance nina presidential candidate Ping Lacson at vice presidential candidate Tito Sotto. Nagsisilbing host ngayon ang Eat Bulaga hosts na sina Allan K, Pauleen Luna at ang anak ni Sotto na si Ciara Sotto. I via Nimfa Asuncion https://t.co/ArU78RaxAP","See I have begun the program of the Avance meeting of Presidential Candidate Ping Lacson and Vice Presidential Candidate Tito Sotto.Eat Bulaga hosts Allan K, Pauleen Luna and Sotto's son Ciara Sotto are hosting today.I via nimfa asuncion https://t.co/aru78raxap",0.0,0.0,1.0,0.0,Neutral,see begun program avanc meet presidenti candid ping lacson vice presidenti candid tito sotto eat bulaga host allan k  pauleen luna sotto  son ciara sotto host today i via nimfa asuncion
30,30,30,30,2022-05-06 10:26:28+00:00,rapplerdotcom,"LOOK: Celebrities Ciara Sotto, Pauleen Luna and Alan K serve as hosts for the miting de avance of presidential candidate Ping Lacson and running mate Tito Sotto. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S https://t.co/fqdzV4qNH8","LOOK: Celebrities Ciara Sotto, Pauleen Luna and Alan K serve as hosts for the miting de avance of presidential candidate Ping Lacson and running mate Tito Sotto. #PHVote #WeDecide 

WATCH: https://t.co/7tg9W8JS2S https://t.co/fqdzV4qNH8",0.0,0.0,1.0,0.0,Neutral,look  celebr ciara sotto  pauleen luna alan k serv host mite de avanc presidenti candid ping lacson run mate tito sotto  watch 
31,31,31,31,2022-05-06 10:24:05+00:00,HanaBordey,"Dabarkads Pauleen Luna, Allan K. &amp; Ciara Sotto are the hosts for tonight’s miting de avance of presidential bet Ping Lacson &amp; VP bet Tito Sotto. @gmanews @gmanewsbreaking https://t.co/kIV93MJCyT","Dabarkads Paulleen Luna, Allan K. &amp;Ciara Sotto Are the Hosts for Tonight’s Meeting De Avance of Presidential Bet Ping Lacson &amp;VP Bet Tito Sotto.@gmanews @gmanewsbreaking https://t.co/kiv93mjcyt",0.0,0.0,1.0,0.0,Neutral,dabarkad paulleen luna  allan k   amp ciara sotto host tonight meet de avanc presidenti bet ping lacson  amp vp bet tito sotto 
32,32,32,32,2022-05-06 10:13:12+00:00,itsmaggiebtw,"i don’t care if he’s been joining your dad’s bible study sessions all throughout quarantine. tito sotto has never shown any remorse for what he’s done not only to pepsi paloma, but also to other women he’s openly harassed and disrespected.","i don’t care if he’s been joining your dad’s bible study sessions all throughout quarantine. tito sotto has never shown any remorse for what he’s done not only to pepsi paloma, but also to other women he’s openly harassed and disrespected.",0.073,0.181,0.746,-0.8043,Negative,dont care he join dad bibl studi session throughout quarantine  tito sotto never shown remors he done pepsi paloma  also women he openli harass disrespected 
33,33,33,33,2022-05-06 10:04:59+00:00,rapplerdotcom,"Leila's brother, Vicboy, take to the stage to campaign for the detained senator. 

The crowd shouts 'hustisya' as Vicboy continues his speech, calling on Senate President President Tito Sotto, a vice presidential candidate, to investigate on the retractions. #PHVote #WeDecide https://t.co/gvem2HeQal","Leila's brother, Vicboy, take to the stage to campaign for the detained senator. 

The crowd shouts 'hustisya' as Vicboy continues his speech, calling on Senate President President Tito Sotto, a vice presidential candidate, to investigate on the retractions. #PHVote #WeDecide https://t.co/gvem2HeQal",0.0,0.065,0.935,-0.4019,Negative,leila  brother  vicboy  take stage campaign detain senator  crowd shout  hustisya  vicboy continu speech  call senat presid presid tito sotto  vice presidenti candidate  investig retractions 
34,34,34,34,2022-05-06 10:04:35+00:00,HanaBordey,"LOOK: Supporters of Lacson-Sotto tandem start to gather here at Verdant Square for their miting de avance. Presidential candidate Ping Lacson &amp; VP bet Tito Sotto will be joined by Senate bets: Eleazar, Ejercito, Minguita Padilla, Piñol &amp; Honasan @gmanewsbreaking @gmanews https://t.co/OdBDjhEAT8","LOOK: Supporters of Lacson-Sotto Tandem Start to Gather here at Verdant Square for their meeting de avance.Presidential candidate Ping Lacson &amp;VP Bet Tito Sotto Will Be joined by Senate Bets: Eleazar, Ejercito, Minguita Padilla, Piñol &amp;Honasan @gmanewsbreaking @gmanews https://t.co/odbdjheat8",0.071,0.0,0.929,0.4404,Positive,look  support lacson sotto tandem start gather verdant squar meet de avance presidenti candid ping lacson  amp vp bet tito sotto join senat bets  eleazar  ejercito  minguita padilla  piol  amp honasan
35,35,35,35,2022-05-06 09:50:04+00:00,mindobdob,"tito sotto
ka leody de guzman
entienza lito
doc willie ong
ejercito
estrada
macapagal
duterte
solid north
crowdfunding
medicaid
photography
women
cryptocurrency
happy birthday
funny
contest
giveaway
tuesday motivation
monday
friday
travel
vegan
ootd
tbt
win
authentication
contest https://t.co/fdCqVs7EJ0","tito sotto
ka leody de guzman
entienza lito
doc willie ong
ejercito
estrada
macapagal
duterte
solid north
crowdfunding
medicaid
photography
women
cryptocurrency
happy birthday
funny
contest
giveaway
tuesday motivation
monday
friday
travel
vegan
ootd
tbt
win
authentication
contest https://t.co/fdCqVs7EJ0",0.298,0.0,0.702,0.9246,Positive,tito sottoka leodi de guzmanentienza litodoc willi ongejercitoestradamacapagaldutertesolid northcrowdfundingmedicaidphotographywomencryptocurrencyhappi birthdayfunnycontestgiveawaytuesday motivationmondayfridaytravelveganootdtbtwinauthenticationcontest
36,36,36,36,2022-05-06 09:23:51+00:00,juperf1,"@TishaCM magka-mag-anak ba si sharon at tito sotto , pero alam nman nila na nauna na c tito nag declare, pero asawa ni sharon na vice rin, gahaman rin talaga asawa ni sharon, but in the end lahat sila inodoro.","@Tishacm Sharon and Tito Sotto have children, but they know that Tito has been declared before, but Sharon's wife is also a vice, but in the end they are all inodoro.",0.0,0.0,1.0,0.0,Neutral,sharon tito sotto children  know tito declar before  sharon  wife also vice  end inodoro 
37,37,37,37,2022-05-06 09:11:30+00:00,MstrCrab888,"@ABSCBNNews Thank you. Kayo din yung gusto magpaQuit kay Sen Kiko for Sen Tito Sotto, right?","@Abscbnnews thank you.You also want to have Sen Kiko for Sen Tito Sotto, right?",0.241,0.0,0.759,0.4215,Positive,thank you you also want sen kiko sen tito sotto  right 
38,38,38,38,2022-05-06 09:06:29+00:00,rapplerdotcom,"WATCH: Presidential candidate Panfilo Lacson and running mate Vicente “Tito” Sotto III hold their miting de avance in Carmona, Cavite on Friday, May 6. #PHVote #WeDecide 

LIVE UPDATES: https://t.co/3pPU29DtQt https://t.co/HwgXlM0BJL","WATCH: Presidential candidate Panfilo Lacson and running mate Vicente “Tito” Sotto III hold their miting de avance in Carmona, Cavite on Friday, May 6. #PHVote #WeDecide 

LIVE UPDATES: https://t.co/3pPU29DtQt https://t.co/HwgXlM0BJL",0.0,0.0,1.0,0.0,Neutral,watch  presidenti candid panfilo lacson run mate vicent tito sotto iii hold mite de avanc carmona  cavit friday  may live updates 
39,39,39,39,2022-05-06 08:32:00+00:00,keiroronnshin,"SHUTA ANONG MUKTIVERSE YON,, MAY NAKITA AKONG LENI ROBREDO AND TITO SOTTO POSTER AJRBIWNDK?!?!??!?!?!?@(@??×","Shuta what muktiverse yon ,, i saw leni robredo and tito sotto poster ajrbiwndk?!?! ??!?!?!?@(@?? × ×",0.0,0.0,1.0,0.0,Neutral,shuta muktivers yon    saw leni robredo tito sotto poster ajrbiwndk                
40,40,40,40,2022-05-06 08:17:12+00:00,gomasterpieceX7,Tito sotto sagot haha! Di kita didiktahan sa iboboto mo mama gnyan kita kamahal haha! Kht ayaw ko kay sotto🤣 https://t.co/xTgrfnpPaf,Tito sotto answer haha!I DON'T DON'T HAVE TO VOTE YOU MAMA GNANYAN KAY LOVED HAHA!Kht i don't like sotto🤣 https://t.co/XTGRFNPPAF,0.214,0.087,0.699,0.6258,Positive,tito sotto answer haha i vote mama gnanyan kay love haha kht like sotto
41,41,41,41,2022-05-06 08:12:28+00:00,2minDig,Habang ineendorso naman ni David ang kaniyang kalaban na si Senate President Vicente “Tito” Sotto III sa pagka-Bise Presidente.,"David, meanwhile, endorsed his opponent, Senate President Vicente “Tito” Sotto III in vice president.",0.133,0.0,0.867,0.25,Positive,david  meanwhile  endors opponent  senat presid vicent tito sotto iii vice president 
42,42,42,42,2022-05-06 08:04:31+00:00,absolutelykeipi,Is it not enough that he did not endorse his uncle Tito Sotto? Vico and VP Leni are not even on the same party list. Wag po natin ipressure si Vivico. Some people tend to overlook Vico's standard leadership and good deeds over a small shortcoming. Hayy 😩,Is it not enough that he did not endorse his uncle Tito Sotto? Vico and VP Leni are not even on the same party list. Wag po natin ipressure si Vivico. Some people tend to overlook Vico's standard leadership and good deeds over a small shortcoming. Hayy 😩,0.105,0.127,0.768,-0.0418,Neutral,enough endors uncl tito sotto  vico vp leni even parti list  wag po natin ipressur si vivico  peopl tend overlook vico  standard leadership good deed small shortcoming  hayi
43,43,43,43,2022-05-06 07:11:34+00:00,SHALvus_,"VP LENI IS MY PRESIDENT
TITO SOTTO IS MY VICE PRESIDENT 

SORRY PO. 🥺🥺","VP LENI IS MY PRESIDENT
TITO SOTTO IS MY VICE PRESIDENT 

SORRY PO. 🥺🥺",0.0,0.347,0.653,-0.7481,Negative,vp leni presidenttito sotto vice presid sorri po 
44,44,44,44,2022-05-06 07:11:10+00:00,Sagisagph,"David said he is supporting Robredo as she has the chance of winning over Ferdinand “Bongbong” Marcos Jr. 

Full story: https://t.co/phwEMeioxx

#Election2022
#LeniRobredo
#TitoSotto https://t.co/OJJzmkwW7G","David said he is supporting Robredo as she has the chance of winning over Ferdinand “Bongbong” Marcos Jr. 

Full story: https://t.co/phwEMeioxx

#Election2022
#LeniRobredo
#TitoSotto https://t.co/OJJzmkwW7G",0.274,0.0,0.726,0.8074,Positive,david said support robredo chanc win ferdinand bongbong marco jr  full story 
45,45,45,45,2022-05-06 06:58:28+00:00,itsmaggiebtw,anyone who openly endorses and votes for tito sotto is spitting at the grave of pepsi paloma. i barely expect anything from the church leaders yet i’m still utterly disappointed that they’d endorse him. kadiri.,anyone who openly endorses and votes for tito sotto is spitting at the grave of pepsi paloma. i barely expect anything from the church leaders yet i’m still utterly disappointed that they’d endorse him. kadiri.,0.115,0.147,0.737,-0.3167,Negative,anyon openli endors vote tito sotto spit grave pepsi paloma  bare expect anyth church leader yet im still utterli disappoint theyd endors him  kadiri 
46,46,46,46,2022-05-06 06:14:36+00:00,onenewsph,"He also asks the public to vote for his rival Sen. Tito Sotto for vice president.

David previously called for a grand coalition to defeat the Marcos-Duterte tandem, which is leading the pre-election surveys. #BilangPilipino2022","He also asks the public to vote for his rival Sen. Tito Sotto for vice president.

David previously called for a grand coalition to defeat the Marcos-Duterte tandem, which is leading the pre-election surveys. #BilangPilipino2022",0.079,0.079,0.842,0.0,Neutral,also ask public vote rival sen  tito sotto vice president david previous call grand coalit defeat marcos dutert tandem  lead pre elect surveys 
47,47,47,47,2022-05-06 05:53:19+00:00,japtobias,"Peke. Kasinungalingan. Kaplastikan. 

Sana nagaalign ang words sa actions, lalo na kay Tito Sotto. 

Di ba siya tong pasabi-sabi na ""no chance"" pumasa ang SOGIE Equality Bill sa senado dahil focused ito sa mga ""gays"" and pinipilit mo na it impedes religious and academic freedom?","Fake.Lie.Kaplasthanan.

Hopefully the words are aligned with actions, especially Tito Sotto.

Didn't he say that ""No Chance"" passed the Sogie Equality Bill to the Senate because it focused on the ""gays"" and forced it to impedes religious and academic freedom?",0.227,0.103,0.671,0.743,Positive,fake lie kaplasthanan hop word align actions  especi tito sotto didn t say  no chance  pass sogi equal bill senat focus  gays  forc imped religi academ freedom 
48,48,48,48,2022-05-06 05:26:53+00:00,pedrorichter,Nagpahayag ng suporta si vice presidential bet Rizalito David kay presidential candidate Leni Robredo matapos unang iendorso ang katunggali niya sa pagkabise na si Tito Sotto https://t.co/rkajhB7oWM,Vice Presidential Bet Rizalito David expressed his support to Presidential Candidate Leni Robredo after his opponent was first endorsed by his opponent Tito Sotto https://t.co/rkajhb7owm,0.17,0.0,0.83,0.5719,Positive,vice presidenti bet rizalito david express support presidenti candid leni robredo oppon first endors oppon tito sotto
