,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
16,"Just saw the #trailer for @jokoy
@eastersunday and I was hit with a Manny Pacquiao-flurry of emotions.
This looks so good and, to paraphrase one of the characters: I haven't see this many #Filipinos in one place ...
well .... outside of carson, ca at least
https://t.co/HBB9OKE6Sh",0.122,0.0,0.878,0.7042,Positive
17,"Why TF would I put Manny Pacquiao's bday as my pin.

Relatability: 0%",0.0,0.0,1.0,0.0,Neutral
18,Cebu campaign rally @sarahlahbati @mannypacquiao @RichardGutz @iloveruffag & amp;@jinkeepacquiao https://t.co/xcshqqqt03,0.0,0.0,1.0,0.0,Neutral
19,"@2townsmik91 @mannypacquiao @senkokopimentel @barrygutierrez3 @Maroxas @marroxas2 @marroxas16 not your opinion but a statement.If it is not right to say and destroy the person then there is a penalty for the law.That's why fake news is increasing because they are not reported and punished.I think its time.When Mar Roxas suits, you will answer.https://t.co/zwyc2QI4LN",0.0,0.215,0.785,-0.9313,Negative
20,"❤️‍🔥🌱🌎🌲✊🙏🏻👼🏻🕯

#BathalangMayKal ✊🙏🏻🕯

#Solidpcquiaoandatienza

@Manny Pacquiao
@lito_atienza https://t.co/O4TGWW7WNZ",0.0,0.0,1.0,0.0,Neutral
21,"@Tvpatrol @mannypacquiao we admire your braveness, dedication and good intentions for the country, but we have to admit far from two leading.
If possible, consider giving way for Leni.We make sure that the whole country will benefit from the votes you can share with Leni.💗",0.334,0.0,0.666,0.952,Positive
22,I promise you nobody cares for Manny Pacquiao like that not even Jinkee,0.464,0.0,0.536,0.7783,Positive
23,The family gatherings when Manny Pacquiao was fighting & gt; & gt; & gt;,0.399,0.158,0.443,0.4215,Positive
24,"Boset ka ahhahahahahaha woke my spirit ahahhahahaa

Lee seokmin, manny pacquiao variant hahahhahahahahahaaa",0.124,0.0,0.876,0.1779,Positive
25,Not to shit on it but this is only gonna be funny to Filipino Americans who only know about 5 Tagalog words.Also we don't fuck with Manny Pacquiao anymore.,0.277,0.0,0.723,0.862,Positive
26,"@jg17708 @senleiladelima @mannypacquiao ok ka lang?What if you or your family happened to be confined to you innocently, is it okay for you?",0.255,0.0,0.745,0.7059,Positive
27,"This weekend marks 10 years watching #boxing so here are some moments that occurred:

#Floydmayweather got a unanimous decision win over #mannypacquiao dubbed the fight of the century (5/2/15)

""",0.117,0.08,0.802,0.296,Positive
28,"This weekend marks 10 years watching #boxing so here are moments that occurred:

#Floydmayweather vs #miguelcotto (5/5/12)

1st fight between #timothybradley vs #mannypacquiao (6/9/12) #boxingisdead trended on #Twitter that night https://t.co/Q5RG0otu8r",0.0,0.08,0.92,-0.3818,Negative
29,"@Luvstish @Lellebe Floyd had to cut prices for his fights against Logan Paul, Conor McGregor, the Maidana Rematch, and, GASP, even Manny Pacquiao!🙄 https://t.co/ji50cbqmko",0.0,0.188,0.812,-0.6239,Negative
30,@THEDANMCKINLEY @ken_stonger can you do one on Manny Pacquiao and Michael Jordan,0.0,0.0,1.0,0.0,Neutral
31,@pickupapainting @mannypacquiao truly amazing,0.77,0.0,0.23,0.7717,Positive
32,The man @mannypacquiao 's love 💕 Blessings's 🇵🇭🇵🇭 🥰🙏🏾🙏🏾💪🏽👊 https://t.co/yn40quvd1x,0.344,0.0,0.656,0.6369,Positive
33,@Skysportsboxing Manny Pacquiao 👊🏼💥 He's just an absolute Gent Kind and Humble,0.236,0.0,0.764,0.5267,Positive
34,@Senleiladelima @mannypacquiao https://t.co/uk11b5g0uf,0.0,0.0,1.0,0.0,Neutral
35,I'm really big on trusting the signs of the universe.I remember watching an interview with Floyd Mayweather talking about seeing moths regularly.He said when he was fighting Manny Pacquiao a moth flew onto Pacquiao's head during the fight.,0.07,0.121,0.808,-0.2815,Negative
36,"$ Ltnc as someone who knows Filipino politics, Manny Pacquiao has a better chance of becoming the President of the Lollypop Guild in never Neverland before he will ever become President of the Philippines.Who the F is going to listen to this blank shooting porn slinger?LMFAO https://t.co/S7PGRWZKNQ",0.104,0.0,0.896,0.5994,Positive
37,just beat his ass call me manny pacquiao,0.0,0.333,0.667,-0.5423,Negative
38,"An incredible thank you to @anasasiaphoto1 !!!!

#Mannypacquiao #TheFightingPrideofThePhilippines
#Pacman #boxing #pacquiao #thepeopleschamp",0.234,0.0,0.766,0.5673,Positive
39,Manny Pacquiao the President that we didn't know we neededau,0.0,0.0,1.0,0.0,Neutral
40,"@Nft_justin @The_Claymates @boredapeyc @artpunksnft what!?!?If you watch sports then you will agree your Cardano pick deserves a, ""C’mon man!""@Bosscatrc and if you don't like what I've got to say, ask @mannypacquiao about it !!!(Mic drop)",0.103,0.054,0.843,0.4438,Positive
41,"Thank you for the cover @boxingnewsed !!!!!!!
#Mannypacquiao #LEGEND #PACMAN #ThePoSchamp #TheFightingPrideofThePhilippines",0.25,0.0,0.75,0.5673,Positive
42,@Skysportsboxing Tyson Fury and Manny Pacquiao,0.0,0.425,0.575,-0.5719,Negative
43,"If you work hard in training, the fight is easy.- Manny Pacquiao",0.0,0.286,0.714,-0.4588,Negative
44,@Skysportsboxing senator @mannypacquiao because he inspires Asian people ❤,0.293,0.0,0.707,0.4404,Positive
45,"""It's Manny Pacquiao's birthday.""
""Ah, the guy who can't beat Mayweather.""

Every Filipino Ass: 🤨😠👊🏻🥊🚩",0.0,0.2,0.8,-0.5423,Negative
46,@programmersedge @mannypacquiao great idea,0.577,0.0,0.423,0.6249,Positive
47,#PACQUIAOATIENZA2022 staged the first of the two meeting de Avances in Cebu City.Sen Manny Pacquiao won in the province.https://t.co/vliuykjggx,0.171,0.0,0.829,0.5719,Positive
48,Do Fil-Aams know that Manny Pacquiao is homophobic and running for president and elections is in 3 days,0.0,0.0,1.0,0.0,Neutral
49,https://t.co/xeyeywqkto new highlights on my youtube channel 🥊 @mannypacquiao tsunami manny pacman pacquiao #boxinglegend #boxing #boxeo,0.0,0.0,1.0,0.0,Neutral
50,#FrontlineTonight |Promdi presidential bet Sen.Manny Pacquiao is his campaign through an avance meeting in Cebu Province.The senator grabbed some celebrities such as the Gutierrez family.#AsPilipino2022 |via @mongualvez https://t.co/Q21SF52Jiy,0.0,0.0,1.0,0.0,Neutral
51,@cryptogreed_ pano boss greed pag manny pacquiao?,0.0,0.31,0.69,-0.4019,Negative
52,For Sen.Manny Pacquiao: @wendellquijado,0.0,0.0,1.0,0.0,Neutral
53,"@ecf08 @senleiladelima @mannypacquiao your reply sounds to me like you are 8 yrs old too 😘, so, we're even now🙄🤪🤭.I don't have candidate for President and I don't care who you vote for ... Wait, are you allowed to vote?",0.061,0.064,0.875,-0.033,Neutral
54,"@jg17708 @senleiladelima @mannypacquiao its obvious your reply mirror that of an 8 yr old.You dont know anything about governance (much less about legal stuff) and you have to accept that.If I tell you the Leody Guzman is the best candidate, you'll be probably bat an eye.But i'll go for leni",0.151,0.0,0.849,0.7918,Positive
55,@Intelprophq @mannypacquiao @mpac_foundation https://t.co/tqe9c3auzp,0.0,0.0,1.0,0.0,Neutral
56,@Scumandermovies Filipinos don't joke with Manny Pacquiao.😂🤣👏🏾👏🏾👏🏾,0.0,0.239,0.761,-0.2235,Negative
57,"The fact that Manny Pacquiao is actually a person and loves to help the poor.But, if that's his purpose for the president, I don't think he needs more.We can help others even if we don't run as a president.",0.216,0.0,0.784,0.8442,Positive
58,@Intelprophq @82_USJAMS @mannypacquiao @mpac_foundation https://t.co/O4ReMKBBOM,0.0,0.0,1.0,0.0,Neutral
59,LOOK: Pres'l aspirant Senator Manny Pacquiao holds his meeting de avance in Cebu on Friday night.This is one of his 2 meetings de avances to be held before the campaign period ends.📸: Team Pacquiao |via @MBBEPPEDRAJAS https://t.co/TBWPRFXSGR,0.0,0.0,1.0,0.0,Neutral
60,"Are the files living in the 2010s?Because that's the only way they can defend that lame Manny Pacquiao crack.

Hope the trailer was just badly cut and that there's actually satirical social commentary somewhere in the film, instead of just a spot the Pinoy reference game.",0.056,0.154,0.79,-0.6249,Negative
61,"@Senleiladelima @mannypacquiao dasurv mo yan te dpat na disbar you already, imagine morality wise became your driver of your married driver.We will pray that you will be at peace in jail so that you can have peace there, goodluck",0.262,0.0,0.738,0.9081,Positive
62,"Just in: Manny Pacquiao is in Cebu City in the first of two meeting de avance rallies.

He claimed around 30 million people had filled out the housing forms that his camp distributed.https://t.co/rehpckesgw",0.0,0.0,1.0,0.0,Neutral
63,Manny Pacquiao Respect,0.608,0.0,0.392,0.4767,Positive
64,whoever wrote the manny pacquiao line .... https://t.co/QWQQVI0V04,0.0,0.0,1.0,0.0,Neutral
65,"@ecf08 @senleiladelima @mannypacquiao am not, just so happen that I agree with how PRRD govern and so happy that delama is in jail and will be rotten in there, satisfied?",0.267,0.085,0.648,0.7909,Positive
66,"Look |Cebu Vote: Presidential aspirant Manny Pacquiao raises his fists as confetti falls during his campaign rally in Cebu City three days before election day.Police estimate the crowd at 3,500.|Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/SFMLZH38ow",0.0,0.0,1.0,0.0,Neutral
67,@inquiredotnet @chonayu1 Does this have an effect on Sen Manny Pacquiao's candidacy?,0.0,0.0,1.0,0.0,Neutral
68,"WATCH: Rappler's @reyaika & amp;@RyanMacasero recap presidential candidate Manny Pacquiao's meeting de Avance held in Cebu on Friday, May 6. Pacquiao will hold another meeting de Avance in his hometown General Santos City on Saturday, May 7. #phvote #Wedecide

https://t.co/zdqkmyvf8m https://t.co/lto2n5Funy",0.0,0.0,1.0,0.0,Neutral
69,@cybersnitch whejsjdj its so pathetic… .. whoever thought of the manny pacquiao pin # needs to be smacked ..,0.0,0.0,1.0,0.0,Neutral
70,"Missed the meeting de avance of presidential candidate Manny Pacquiao in Cebu?Rappler's @reyaika and @RyanMacasero give us the highlights.#Phvote #wedecide

WATCH: https://t.co/RKKTRFSEUQ https://t.co/MZJABDM5ND",0.0,0.091,0.909,-0.296,Negative
71,Are you Manny Pacquiao?When you hit me I hit you 😌,0.0,0.0,1.0,0.0,Neutral
72,"Presidential candidate Sen.@Mannypacquiao is his Avance meeting in Cebu City tonight for #Election2022.

Courtesy: Team Pacquiao

Visit https://t.co/0jbnlxhcen for news about #election2022.https://t.co/B71NFCCST",0.106,0.0,0.894,0.3612,Positive
73,@yoanglwtf_ hi you manny pacquiao,0.0,0.0,1.0,0.0,Neutral
74,@orjyyyyy that manny pacquiao joke 😬😬😬,0.306,0.0,0.694,0.296,Positive
75,"@Msmdulay @eastersunday @jokoy eh?Really?everyone has a bank account Manny Pacquiao?Wrong.

Most only has one breadwinner with one DBank account in a family.",0.0,0.0,1.0,0.0,Neutral
76,LOOK: Pres'l aspirant Senator Manny Pacquiao holds his meeting de avance in Cebu on Friday night.This is one of his 2 meetings de avances to be held before the campaign period ends.📸: Team Pacquiao |@manilabulletin https://t.co/twpluf1pnz,0.0,0.0,1.0,0.0,Neutral
77,Senator Manny Pacquiao takes the stage in his grand rally in Cebu.Promises to help the poor if he wins.|@Ancalerts @abscbnnews https://t.co/aso3x5ujbr,0.213,0.116,0.672,0.3818,Positive
78,who uses manny pacquiao's birthday as an atm pin 🙄,0.0,0.0,1.0,0.0,Neutral
79,@monicataher @obj @aaronrodgers12 @mannypacquiao @therock,0.0,0.0,1.0,0.0,Neutral
80,"@inquiredotnet @dygalvezinq you know what's a missed opportunity?Manny Pacquiao followers should have named their group the Pacquers and Manny's mom as the mother Pacquer.

#VotePH",0.0,0.087,0.913,-0.296,Negative
81,"Mommy Dionesia Pacquiao, a game that was entertained by the ballroom dancing, those who attended Sen's Avance meeting.@Mannypacquiao in Cebu.

📷 Team Pacquiao
@onenewsph @news5ph @tv5manila https://t.co/wduztojknj",0.101,0.0,0.899,0.4019,Positive
82,"@DygalvezinQ The Lyrics Goes:

“Manny Pacquiao is here, ready to help people.

Because he came from hardship, he felt the poor

Manny Pacquiao is waiting for us, he wants us to be real. ”#VotePH |@DygalvezinQ",0.125,0.13,0.745,-0.0516,Negative
83,"The Lyrics Goes:

“Manny Pacquiao is here, ready to help people.

Because he came from hardship, he felt the poor

Manny Pacquiao is waiting, he wants us to be real ”@inquiredotnet",0.138,0.144,0.718,-0.0516,Negative
84,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/AZWEWJRVCH,0.194,0.0,0.806,0.4767,Positive
85,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/FCDVOPUHG1,0.194,0.0,0.806,0.4767,Positive
86,It was cloudy but the supporters of Presidential Candidate @mannypacquiao at the Cebu City rally |Rh14 @leth_narciso #decision2022 #samasamatayoPilipino https://t.co/mtnwup0zd8,0.168,0.0,0.832,0.5927,Positive
87,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/cvrxdhn7uj,0.194,0.0,0.806,0.4767,Positive
88,@kulotissima @inquirerdotnet @mannypacquiao stance!,0.0,0.0,1.0,0.0,Neutral
89,@nobita_rocks the manny pacquiao birthday joke made me cringe tho 😬 haha,0.366,0.0,0.634,0.6369,Positive
90,@Dygalvezinq LOOK: Singer Freddie Aguilar performs the song he wrote for Pacquiao titled “Blood and Sweat: The Ballad of Manny Pacquiao.”#VotePH |@DygalvezinQ https://t.co/Fyk4Wndfn4,0.0,0.0,1.0,0.0,Neutral
91,Singer Freddie Aguilar performs the song he wrote for Pacquiao titled “Blood and Sweat: The Ballad of Manny Pacquiao.”@inquiredotnet https://t.co/898MZPOIVD,0.0,0.0,1.0,0.0,Neutral
92,@Yojaexxd Manny Pacquiao?,0.0,0.0,1.0,0.0,Neutral
93,"Look |Cebu Vote: Celebrity Siblings Ruffa and Richard Gutierrez, and Richard's wife, Sarah Labhati, lend their star power to presidential candidate Manny Pacquiao during the latter's campaign rally in Cebu City Friday.|Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/E5D1ZAIEUP",0.0,0.0,1.0,0.0,Neutral
94,Mommy Dionesia and Jinkee Pacquiao are present at the campaign rally by Presidential Candidate Sen.Manny Pacquiao in Cebu City.|Via The Freeman/Romeo Marantal #AsPilipino2022 https://t.co/2xksqweait,0.0,0.0,1.0,0.0,Neutral
95,@Senleiladelima @mannypacquiao you are about to achieve justice Madam Senator,0.274,0.0,0.726,0.5267,Positive
96,"Look |Cebu Vote: Dionesia Pacquiao, mother of presidential aspirant Manny Pacquiao, and the latter’s wife, Jinkee, show support to the senator during his campaign rally in Cebu City Friday |Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/TCD29PQL0C",0.074,0.0,0.926,0.4019,Positive
97,"Look |Cebu Vote: Dionesia and Jinkee Pacquiao, mother and wife of Sen.Manny Pacquiao, join the presidential aspirant in his campaign rally in Cebu City.Also present was former Pinamungajan Mayor Geraldine Yapha.|via romeo marantal #thefreeman #cebuvote https://t.co/go6h1cchad",0.059,0.0,0.941,0.296,Positive
98,@iloveruffag @mannypacquiao hi po!,0.0,0.565,0.435,-0.5983,Negative
99,Manny Pacquiao May Travel to Australia to Support Former Sparring Partner George Kambosos JR in Maiden Title Defence https://t.co/DMCF0cMVKI #boxing,0.186,0.0,0.814,0.4767,Positive
100,@DygalvezinQ LOOK: A poster here at Pacquiao's meeting de avance in Cebu City says “among President Manny Pacquiao.Win the poor.The Filipino wins. ”#VotePH |@DygalvezinQ https://t.co/a0awadnkxb,0.139,0.0,0.861,0.5719,Positive
101,LOOK: A poster here at Pacquiao's meeting de Avance in Cebu City says “Our President Manny Pacquiao.Win the poor.The Filipino wins. ”@inquiredotnet https://t.co/cmghgsbasm,0.15,0.0,0.85,0.5719,Positive
102,"So happy that Papa is now converted to vote for Ma'am VP Leni from Sen.Manny Pacquiao!💗💗💗🎉 Will try converting my younger brother and ate, too!

#IPANA10natinparaalawahat
#LenikikoAllTheway2022
#LENIFURPRESSIDENT2022",0.145,0.0,0.855,0.6785,Positive
103,"Msu-Maguindanao Mock Election (Organized by the College of Public Affairs and Governance)

PRESIDENTS:
@lenirobredo @bongbongmarcos @iskomoreno @mannypacquiao @iampinglacson
 
Photo grabbed from CPAG's Facebook page.https://t.co/4WXW42L2ms",0.0,0.109,0.891,-0.4215,Negative
104,"@reyaika LOOK: Supporters atop a building near the meeting de avance venue.Message reads “among President, Manny Pacquiao,” adds not wanting to meet the boxing champ for a long time.#Phvote #wedecide |via @reyaika https://t.co/pvgjw0fw4x",0.171,0.0,0.829,0.7184,Positive
105,@Senleiladelima @mannypacquiao HAHAHAHAHAHAHAHAHAHAHADOKENZ.Hope Manny and Leni really debated.😂,0.0,0.0,1.0,0.0,Neutral
106,"LOOK: Supporters atop a building near the meeting de avance venue.Message reads “among President, Manny Pacquiao,” adds not wanting to meet the boxing champ for a long time.https://t.co/LTCRG8eyqu",0.2,0.0,0.8,0.7184,Positive
107,@programmersedge @mannypacquiao @joshworley_io 👀,0.0,0.0,1.0,0.0,Neutral
108,@programmersedge @mannypacquiao brilliant idea @telcoin_team,0.487,0.0,0.513,0.5859,Positive
109,"WATCH: Presidential Candidate Manny Pacquiao holds a meeting de avance in Cebu Province, the Visayas leg of his advanced rallies on Friday, May 6. #phvote #Wedecide https://t.co/zDQKMYVF8M https://t.co/Q7N7W0ade",0.071,0.0,0.929,0.25,Positive
110,"@reyaika Richard: Make the right Choice.Let's go to the cleanest person, Manny Pacquiao.#Phvote #wedecide |via @reyaika",0.0,0.0,1.0,0.0,Neutral
111,"WATCH: Presidential Bet Manny Pacquiao now onstage.He is joined by his wife Jinkee, Mother Dionisia, promdi chair Mimo Osmeña, and Senate Betz Barbo.#Phvote #wedecide |via @reyaika

https://t.co/RUJBQJPQH5",0.0,0.0,1.0,0.0,Neutral
112,@Senleiladelima @mannypacquiao don't worry Madam Leila is just a few days away and you're free!I'm just finishing the term of Satan sitting in Malacañang because you need to replace your camps especially Aguirre!I will deliver them myself!Remember Madam Senator!,0.088,0.0,0.912,0.5535,Positive
113,"Richard: Make the right choice.Let's go to the cleanest person, Manny Pacquiao.",0.0,0.0,1.0,0.0,Neutral
114,"Watch I COMIDENTIAL CANDIDATE Manny Pacquiao arrives in the North Reclamation Area, Cebu City for the main program of the De Avance meeting tonight.

Pacquiao includes Mommy Dionisia, Jinkee Pacquiao and senatorial Betz Barbo.I via hajji kaamino https://t.co/f070egrkft",0.0,0.0,1.0,0.0,Neutral
115,"Look |Cebu Vote: Scenes from the campaign rally of presidential candidate Manny Pacquiao in Cebu City Friday.Police estimate the crowd at 3,500 as of 7 p.m.|Via Romeo Marantal and Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/P2BXMXDMNJ",0.0,0.0,1.0,0.0,Neutral
116,"@Dygalvezinq Watch: Cebuanos chant “number 9” as presidential candidate Senator Manny Pacquiao Arrive at the venue for his Cebu meeting de avance.

He is No.9 in the ballot for the May 9 elections.#VotePH |@Dygalvezinq https://t.co/dvvaiw2wwh",0.0,0.0,1.0,0.0,Neutral
117,"WATCH: Cebuanos chant “number 9” as presidential candidate Senator Manny Pacquiao arrive at the venue for his Cebu meeting de avance.

He is No.9 in the ballot for the May 9 elections.@inquiredotnet https://t.co/9y3bweuxll",0.0,0.0,1.0,0.0,Neutral
118,"Presidential Bet and Senator Manny Pacquiao, wife Jinkee, and Mother Dionisia Greet Cebuano Supporters #Phvote @rappplerdotcom https://t.co/QVYVYTNPSA",0.257,0.0,0.743,0.6369,Positive
119,"LOOK: Presidential bet Manny Pacquiao now onstage.He is joined by his wife Jinkee, Mother Dionisia, Promdi Chair Mimo Osmeña, and Senate Betz Barbo https://t.co/BNBG4FXF2K",0.0,0.0,1.0,0.0,Neutral
120,https://t.co/foh4rvrfue @iloveruffag @teamgutierrez @itsshowtimena @mpac_foundation @mannypacquiao,0.0,0.0,1.0,0.0,Neutral
121,@Jmanletcnft @nft_justin @the_claymates @boredapeyc @artpunksnft @snoopdogg @bosscatrc @barondisvis @b_real @ericbobo @mannypacquiao speak 🗣 on it bro !!!Lfg,0.0,0.0,1.0,0.0,Neutral
122,"We don't talk like that.We don't joke like that.We don't worship Manny Pacquiao like that.

This is just a smorgasbord of Filipino stereotypes.Desperate!",0.0,0.38,0.62,-0.8125,Negative
123,"Senator and Presidential aspirant Manny Pacquiao promised to push for the passage of the proposed Sim Card Registration Act.#Pressoneph

https://t.co/EJ9LCWZXNJ",0.116,0.0,0.884,0.3612,Positive
124,"Watch one of the well-known Cebuano novelty singer Max Surban at performing at the Avance meeting of Presidential Candidate Manny Pacquiao in Cebu City tonight.

According to Surban, Pacquiao has been friends with him for a long time.I via hajji kaamino https://t.co/wbnk6lvbyb",0.072,0.0,0.928,0.4767,Positive
125,Pimentel is the chairman of the faction chaired by Sen.Manny Pacquiao.,0.0,0.0,1.0,0.0,Neutral
126,The pin number because “it's Manny Pacquiao’s birthday” what 😭😭😭,0.126,0.0,0.874,0.0772,Positive
127,The corny of the Manny Pacquiao joke.🤦🏻🤦🏻,0.0,0.0,1.0,0.0,Neutral
128,@jingheluvs pulling a manny pacquiao,0.0,0.0,1.0,0.0,Neutral
129,@Tvpatrol go manny pacquiao 💕,0.0,0.0,1.0,0.0,Neutral
130,"Presidential candidate Sen just ignored it.Manny Pacquiao did not favor the Comelec in their PDP-Laban faction.

Meanwhile, Pacquiao joined Cebu to campaign.#Election2022 https://t.co/Uaud3LSRDI",0.0,0.178,0.822,-0.5511,Negative
131,Look |Cebu Vote: Attendees Brave the crowd to get food packs distributed at the campaign rally of presidential aspirant Manny Pacquiao in Cebu City Friday |Via Aldo Banaynal #TheFreeMan #Cebuvote https://t.co/VV6D1P1WDS,0.102,0.0,0.898,0.5267,Positive
132,"Manny Pacquiao Challenge #halalaNSpace

https://t.co/tn50n0jcts",0.245,0.0,0.755,0.0772,Positive
133,Look |Cebu Vote: The crowd that has gathered at the campaign rally of presidential aspirant Manny Pacquiao in Cebu City as of 5 p.m.Friday.|Via Aldo Banaynal #TheFreeMan #CebuVote https://t.co/wjcify0mu5,0.0,0.0,1.0,0.0,Neutral
134,@Senleiladelima @mannypacquiao you enjoy your place.You and the queen of the Individual.You are in a better place.,0.303,0.0,0.697,0.7269,Positive
135,"@loverboyramil @mannypacquiao that's right, c pacquiao needs this election!",0.0,0.0,1.0,0.0,Neutral
136,@Iboboxing @mannypacquiao boxing's goat!,0.0,0.0,1.0,0.0,Neutral
137,"Manny Pacquiao - Biography, facts, & amp;NOTABLE FIGHTS https://t.co/J9KDSNFAGL ผ่าน @Britannica",0.0,0.3,0.7,-0.5319,Negative
138,"@cesarcaubalejo @mannypacquiao @senkokopimentel @barrygutierrez3 @maroxas @marroxas2 @marroxas16 game, i report that, that's what you often do, I didn't do anything wrong, my opinion and you don't care",0.091,0.093,0.816,-0.0191,Neutral
139,#Firstyaya nakooo what makes you different from running Manny Pacquiao?@gmanetwork what is your show.Eh it's worse.Yaya run president?,0.0,0.0,1.0,0.0,Neutral
140,"This will be the last election that LP/yellows/pinks will hold that morality card.This selling point already shifted to the likes of Doc Willie, Manny Pacquiao, Isko Moreno.
The toxic followers of the pink just made sure of it.

#Switchtoisko",0.121,0.0,0.879,0.6249,Positive
141,"@jnery_newsstand Balajadia: If VP Leni is to win, it's important that Manny Pacquiao has to stay in the race.If he withdraws or expresses support for Leni, the chance of his supporters shifting to Marcos Jr.is high.#Phvote #wedecide

WATCH: https://t.co/p3zxkjj8jj",0.28,0.0,0.72,0.9042,Positive
142,"The Comelec recognized the Cusi-Wing or the faction connected to President Duterte as a true PDP-Laban.

Sen's camp will appeal to it.Koko Pimentel and Sen.Manny Pacquiao.

The PDP-Laban was formed amid the resistance to the Marcos dictatorship.

#Election2022 https://t.co/PNLOZLT6F",0.07,0.0,0.93,0.4215,Positive
143,@dzrhnews @mannypacquiao @leth_narciso make sure you just have Sen that you will be all starting when Marcos is still,0.113,0.0,0.887,0.3182,Positive
144,"ATM: Cebu Grand Rally of the People's President @mannypacquiao

#Forgodandcountry
#PemplaryPilipino
#9Samay9 https://t.co/wfhljauikg",0.2,0.0,0.8,0.4588,Positive
145,@beely00ee mala manny pacquiao sana skdksdkksd,0.0,0.0,1.0,0.0,Neutral
146,LOOK: 3rd Ave is full of supporters.North Reclamation Area where Presidential Candidate @mannypacquiao's Avance meeting is held in Cebu City @dzrhnews #Decision2022 https://t.co/3Q8S7DBHFG,0.0,0.0,1.0,0.0,Neutral
147,#FrontlinePilipinas |The presidential candidate Sen's campaign was dawn.Manny Pacquiao in Vote-Rich Province Cebu.#AsPilipino2022 |via @mongualvez https://t.co/ypgr5nibwq,0.0,0.0,1.0,0.0,Neutral
148,that manny pacquiao joke im gonna vomit,0.268,0.0,0.732,0.296,Positive
