,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
37,What the pollsters say about who's voting for 'Bongbong' Marcos to be the next Filipino president.https://t.co/vx5a9a86ok,0.0,0.0,1.0,0.0,Neutral
38,@bagbongMarcos Calls for Voters' Vigilce https://t.co/ftkldu71TX,0.0,0.0,1.0,0.0,Neutral
39,"He just said he would not run as president .... but he ran because Bongbong Marcos was running….
Who's a liar .... super lier you Robredo, study what you say, coming back to you .... the nerved ... my vegetable",0.114,0.095,0.791,0.2263,Positive
40,"The best #JusticeForFredalba is that we will win via landslide the entire #UniteBBBBSara2022 so we all come out and vote for Mayebe.
@bagbongmarcos @senimeemarcos @luminustrix @imthinkingpinoy @yesyesyo13

Credits s owner.https://t.co/h5eedxjajk",0.288,0.0,0.712,0.8885,Positive
41,"@Sv_teschen @dzrh5 @dzrhnews @bagbongmarcos @indaysara @lenirobredo @kikopangilinan @comelec hahahah!You guys!In our BBM and DDS Chilax Chilax only because of the 70percent of the Filipino vote, BBM is already available",0.0,0.0,1.0,0.0,Neutral
42,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 yan na na yan girl!,0.0,0.0,1.0,0.0,Neutral
43,"@TheManilatimes @bagbongMarcos, @indaysara still lead in campaign's final turn https://t.co/xfqvwiqjgb",0.0,0.0,1.0,0.0,Neutral
44,@COMELEC @bagbongmarcos @senimeemarcos @pnppio https://t.co/ulcuoof8no1,0.0,0.0,1.0,0.0,Neutral
45,"@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 look at the numbers 😊
May 7th and Block 7 for our Pres #7",0.0,0.153,0.847,-0.4404,Negative
46,@cnnphilippines @laratyan @bagbongmarcos no vote for you.Your family stole the people.,0.0,0.18,0.82,-0.296,Negative
47,"Daming accusation, d nyo nmn so much.Nothing means!Winner c Bongbong Marcos, deal with it!❤️💚",0.0,0.19,0.81,-0.3786,Negative
48,"@varvietrish @bagbongmarcos but I saw a printed result, let's go again.Leni Sara is the result.God forbid.",0.0,0.185,0.815,-0.4497,Negative
49,"MSM went ape when SMNI was able to interview Gen.Palparan but was creepily silent went crappler interviewed de Lima.The Philippines is red ❤️💚❤️💚
Road to Malacañang
President Bongbong Marcos
#BringbackMarcos
#MarcosDuterte2022
#ProtectBBMSARA",0.0,0.0,1.0,0.0,Neutral
50,"Before I open my verse for today.I prayed and asked for a sign to the holly spirit if the winner of the president was Bongbong Marcos Jr.And if he has a good heart for the poor and the poor. I said Lord, give me a sign and answer if the winners.https://t.co/N9U47GXNBC",0.151,0.112,0.737,0.296,Positive
51,"WashingtonPost さん から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から から

Harnessing the power of social media to… https://t.co/KGF7FB3G2C 05月 07日 8 時 07 分 台 の ニュ ニュ でし た た",0.0,0.0,1.0,0.0,Neutral
52,"Flush that!The Philippines is red ❤️💚❤️💚
Road to Malacañang
President Bongbong Marcos
#BringbackMarcos
#MarcosDuterte2022
#ProtectBBMSARA",0.0,0.0,1.0,0.0,Neutral
53,"Receipt:

""Bongbong Marcos is always high on drugs.""
~ Nikki Coseteng, former Senator https://t.co/z2ypwgogj6",0.0,0.0,1.0,0.0,Neutral
54,"@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 Marcos as Senator - 2010 to 2016;Nikki Coseteng as Senator - 1992 to 2001
How can they be together at work, Marites are that?",0.0,0.0,1.0,0.0,Neutral
55,@vorztoz,0.0,0.0,1.0,0.0,Neutral
56,"FYI

Good morning.I hate to deliver this to you but you must know 😞

A teenager commits suicide for defending @loren_legarda and @uniteam_ph

He was bullied by Kapampinks 🤔

@Rrd_davao
@giboteodoro
@bagbongmarcos
@indaysara
@attyharryroque

Link 👇
https://t.co/Ka63SVKK69 https://t.co/ocfvoahmqi",0.103,0.302,0.594,-0.9244,Negative
57,"@varvietrish @bagbongmarcos yes.

The Philippines is red
#BringbackMarcos
#MarcosDuterte2022",0.252,0.0,0.748,0.4019,Positive
58,"I am excited to lead next president @bongbongmarcos but sad at the same time I will miss Dad Digong.:(

#Sahanprrd
#Dutertelegacy",0.072,0.255,0.674,-0.6542,Negative
59,"""We declare with a clear sense of finality our encouragement to support the candidacy of Bongbong Marcos and Inday Sara Duterte.""Chairman Nur Misuari https://t.co/HA3r3yo9GL",0.288,0.0,0.712,0.7964,Positive
60,"@Maroroski1 @gmanews @bagbongmarcos so it's closed abs, because bias.Oligarchs",0.0,0.0,1.0,0.0,Neutral
61,Maybe Yahuwah gave dreams to us young ones they call crazy to build a blockchain city in the northern mountainous area of Cordilleran preparing for the fire to come.The fire that melted the glacier for a flood and more?@bagbongmarcos @lenirobredo @mannypacquiao @iskomoreno,0.059,0.157,0.784,-0.5423,Negative
62,'Bongbong' Marcos JR poised for the presidency as the Philippines goes to the polls https://t.co/eb0ZZXLZG6,0.125,0.0,0.875,0.25,Positive
63,"@Mystic1434 Madumb's cult is breathing @lenirobredo because the election is only 2 days in Pinas but still from the start to the end.
 #BBMSaraUnitheam
To Sir President @bongbongmarcos and Vice President @indaysara congratulations in advance.",0.14,0.0,0.86,0.7469,Positive
64,'Bongbong' Marcos JR poised for the presidency as the ... - https://t.co/KC53Guax3a #VIXC #LatestComments #Commentary #EweATHERNEWS https://t.co/KRFOVKVYEG,0.118,0.0,0.882,0.25,Positive
65,Bongbong Marcos: The man attempting to revive a corrupt political dynasty https://t.co/RCAizWD8Q4,0.194,0.0,0.806,0.34,Positive
66,"Exactly!There are so many exols who are supporting Bongbong Marcos.I think Suho would slap the exols who are supporting the candidate who is a liar, tax evader, convicted criminal, and has fake diploma",0.17,0.232,0.598,-0.5707,Negative
67,"@heyitsroanneee @bbcnews @bongbongmarcos yes po so seriously
#NeverForget
#Neveragain",0.189,0.391,0.42,-0.4391,Negative
68,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 who the heck is she ???He knows he knows BBM myghad very well!,0.168,0.0,0.832,0.4981,Positive
69,"“Bongbong” Marcos Jr., the son of a former dictator, is leading the polls.

Harnessing the power of social media to blur the lines between fact and fiction, one of the Philippines' most despised families is being rehabilitated into one of its most revered.
https://t.co/f2zet5jgln",0.076,0.063,0.862,0.1531,Positive
70,'Bongbong' Marcos JR poised for the presidency as the Philippines goes to the polls https://t.co/Mia4C9W1RC,0.125,0.0,0.875,0.25,Positive
71,"@kylaadeleon1 @bagbongmarcos @sandromarcos7 it's just a school project, you are happy to be in agreement but if you don't have a plan, you will have no significant output.Happy Saturday!😊",0.212,0.086,0.702,0.484,Positive
72,"@kylaadeleon1 @bagbongmarcos @sandromarcos7 girl, i will pray for you to be enlightened when you go to church tomorrow.There is still time.Check carefully.Yes, unity and unity but without a plan the country has no direction.",0.105,0.079,0.816,-0.0129,Neutral
73,@___shesthatgirl @bagbongmarcos @indaysara together we can hang again lol,0.259,0.0,0.741,0.4215,Positive
74,@fmesj @bagbongmarcos Editing Summary,0.0,0.0,1.0,0.0,Neutral
75,"Even though I was @StarbuckSPH when I was @Starbucks, I didn't have to worry about Monday.

No matter what coffee it is, I will not be nervous on Monday because it is for the Philippines, because they will bring @bongbongmarcos and @indaysara

Because even the #HapasLupa can come here too.https://t.co/7mxn5Naujz",0.107,0.044,0.848,0.2778,Positive
76,@bagbongmarcos https://t.co/zrndb8jql1,0.0,0.0,1.0,0.0,Neutral
77,"@paulocoelho tell this to @bangbongmarcos and to his blind supporters.They are super fanatic to a tax evader, smh",0.17,0.218,0.611,-0.0258,Neutral
78,Bongbong Marcos: The man attempting to revive a corrupt political dynasty - BBC News https://t.co/6938CM7XU5,0.167,0.0,0.833,0.34,Positive
79,@smninews @bagbongmarcos @indaysara wow galing naman!SOLID BBM Sarah.,0.369,0.0,0.631,0.6239,Positive
80,@carlos_rhodora @moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 good morning sis korek ka dyan khit what else do they throw at bbm the mere fact still voted by the country some dikada yellow have a new one who has been aware of the people Solud bbmsara for the theWin ♥ ️💚✌️👊,0.061,0.0,0.939,0.4404,Positive
81,"I'm just laughing.Bongbong Marcos is the candidate, not Fem.🤦🏾‍♂️🤦🏾‍♂️ So please, if it is argue, BBM's only accomplishments, do not feel sorry for others.You look like a fool, promise.",0.17,0.211,0.62,-0.3521,Negative
82,@bagbongMarcos 17th President of the Philippines.✌🏽👊🏽❤️💚🇵🇭,0.0,0.0,1.0,0.0,Neutral
83,@Dawnzpost @bagbongmarcos @indaysara ✌️👊❤️💚,0.0,0.0,1.0,0.0,Neutral
84,@kurotteyrr807 @gmanews @bagbongmarcos closed which one?Elaborate please.,0.277,0.0,0.723,0.3182,Positive
85,"Seems like creating a fake article, links is another drama.@senateph @senimeemarcos, @COMELEC.@lenirobredo, @bongbongmarcos, @cidg_pnp, @pnppio I, including the more than 112M Filipino is seeking for the truth.Hope it answered.Thanks https://t.co/8Y38Iamb4n",0.139,0.092,0.769,0.1531,Positive
86,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 you just die in envy of bbm.,0.0,0.4,0.6,-0.7184,Negative
87,What did Bongbong Marcos think before he went to bed?Does he visit his conscience?,0.0,0.0,1.0,0.0,Neutral
88,@dawal_marcos @bongbongmarcos ok thank you for your ruin ... bbmsara that i really do not have a good behavior instead of convincing you to be clear that you can ... hahaha i laugh at you.,0.363,0.131,0.506,0.8748,Positive
89,"@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 her nickname back in the days was ""ampaw"" ... the fried rice cake that you thought the brain was empty, that's not it when you bite it.",0.0,0.057,0.943,-0.2023,Negative
90,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 Stop a cup of coffee ...,0.0,0.216,0.784,-0.296,Negative
91,@jxxfux @arasows @pipaykipayy @bagbongmarcos I don't know if you want to educate yourself or not but if time you can visit the website of PCGG it's a government agency and it's only purpose is get all the ill gotten wealth of the MarcosFamily.,0.116,0.078,0.806,0.1901,Positive
92,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 please @bangbongmarcos @sandromarcos7 @senimeemarcos,0.247,0.0,0.753,0.3182,Positive
93,"Just heard how including parlor butchered our Land Nominated.It's glory and love not grief and love.You are Filipino, you should know.

#BBMSARA2022 |#BBMFIPRAPRATION
@bagbongmarcos |#Election2022
__
#BangonBayanMuli",0.301,0.0,0.699,0.8841,Positive
94,"@pipaykipayy why are you so popular because that person?Strength to judge people, you show a case that Bongbong Marcos has a graft and corruption case, you are your talent to be ugly we complain?",0.167,0.143,0.69,0.2444,Positive
95,"""(Bongbong) Marcos will not win ..."" said my grandmother Ilocana.Mark her word.",0.0,0.218,0.782,-0.4717,Negative
96,"BBC News - Bongbong Marcos: The Man Attempting to Revive a Corrupt Political Dynasty
https://t.co/ymjova2wkx",0.167,0.0,0.833,0.34,Positive
97,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 the who is it?And how much does he mean to BBM or even Marcos to prove the accusation?Unless they are so good to him that he knows.You're irrelevant whoever u are.,0.111,0.0,0.889,0.625,Positive
98,@bagbongmarcos what's with all those here trying to link this to the Moro conflict.,0.0,0.15,0.85,-0.3182,Negative
99,"Bongbong Marcos has no degree, just a special diploma!

https://t.co/OXBNXNCW4W",0.245,0.18,0.574,0.2003,Positive
100,"@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 If that's true, you were a lawmaker, why didn't you entrap it for trapped .. maybe you were with the protector then?Do you have DA drugs too?Wrong timing is your exposition ..",0.071,0.095,0.834,-0.2406,Negative
101,"Ferdinand Marcos JR:

Bongbong Marcos:
The man attempting to revive
 A CORRUPT POLITICAL DYNASTY

https://t.co/m8hi8oo0i6",0.156,0.0,0.844,0.34,Positive
102,Reporter’s Review: Lian Buan on Bongbong Marcos https://t.co/KuieBShr8d via @youtube,0.0,0.0,1.0,0.0,Neutral
103,The election sir @bongbongmarcos is over @MarCOSDDAILY_PH PLEASE ACTION YOU TO HAPPEN MAKE ME!@indaysara https://t.co/8PeyTrdi1h,0.192,0.0,0.808,0.5147,Positive
104,The President of the Philippines Bong Bong Marcos JR ❤️✌️🇵🇭 @bagbongmarcos @sandromarcos7 @uniteam #bbmismypresident2022 https://t.co/omzrxoq8va,0.0,0.0,1.0,0.0,Neutral
105,@Maroroski1 @gmanews @bagbongmarcos 🤣🤣🤣 So na napara db?Kc Alams na ..,0.0,0.0,1.0,0.0,Neutral
106,"@carlos_rhodora @moniqu3n @bagbongMarcos @senimeemarcos @sandromarcos7 like that.It is their fault why their chicken is losing, they are still craan c bbm instead of lifting c porch.",0.087,0.184,0.729,-0.4215,Negative
107,@maichardbibis1 @moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 desperate to ate..All they think they have a person who speaks to our president..pero wla still changed..they are still in the surveys!,0.0,0.094,0.906,-0.3802,Negative
108,Hope we won't be fooled again!@bagbongMarcos @indaysara #BBMSARAH2022,0.473,0.0,0.527,0.6571,Positive
109,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 old marites!TSISMOSAAAAA !!!!,0.0,0.0,1.0,0.0,Neutral
110,"@carlos_rhodora @moniqu3n @bongbongmarcos @senimeemarcos @sandromarcos7 korek dhang.No matter what they destroy, BBM's vote will still be reduced.Set the human mind, and mulats cla what is true.Btw ung bet nyan na presidential, have you ever had a drug test?Election S May 9 ahh!",0.026,0.091,0.883,-0.5707,Negative
111,@Moniqu3n @bongbongmarcos @senimeemarcos @sandromarcos7,0.0,0.0,1.0,0.0,Neutral
112,"And all the ente endors of Pres.Rodrigo Duterte, Sarah Duterte and Bongbong Marcos, don't all of us, hahahaha,
Bright ???? Good.

Don't worry because you all win.

Go Go Go, BBM & amp;Sarah💪💪💪",0.317,0.0,0.683,0.918,Positive
113,@Madaam_ guys protect our next president maybe again #bbmsara2022 @bagbongmarcos @rrd_davao https://t.co/wkqoxyezma,0.191,0.0,0.809,0.3818,Positive
114,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 do you pay niki coseteng so you say that or do you just like bbm so just ignored,0.098,0.156,0.746,-0.1226,Negative
115,"MY PRESIDENT: Bongbong Marcos
Vice President: Sarah Duterte
SENATORIAL CANDIDATES:
Robin Padilla
Alan Cayetano
Joel Villanueva
CHIZ ESCUDERO
Migz Zubiri
Harrey Roque
Jinggoy Estrada
JV Ejercito
Raffy Tulfo
Gibo Teodoro

CIBAC Partylist (Bro.eddie Villanueva)",0.0,0.0,1.0,0.0,Neutral
116,"You deserve good governance.
You deserve nothing less.
Because you are a Filipino.

My vote is for Bongbong Marcos and Sarah Duterte.❤️💚🇵🇭

#Ipanalona10Parasayan
#Election2022
#Define",0.112,0.0,0.888,0.4404,Positive
117,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 mam nikki whatever else i issue with our president..wla who will believe your yellow ones!The election is Monday and the people have already made a decision!BBMSARA for change and unity! 💪,0.0,0.0,1.0,0.0,Neutral
118,"@Gerrycacanindin same here in aus 🙈
The Philippines May Vote Bongbong Marcos into office, even though his parents stole billions from the country - ABC News https://t.co/BonBougJC8",0.0,0.0,1.0,0.0,Neutral
119,@smninews @rockyma46760498 @rapplerdotcom @uniteam_ph @loren_legarda @rappplerdotcom @bongbongmarcos @rrd_davao @comelec @PhilipPinestar https://t.co/BrnFlgjpp6,0.0,0.0,1.0,0.0,Neutral
120,@Moniqu3n @bagbongmarcos @senimeemarcos @sandromarcos7 let it be that powta na cavit daw yan ni erap and butch.So D who won the senator again because he liked the gossip.😂😂,0.206,0.0,0.794,0.7579,Positive
121,@Shineahine @bagbongmarcos https://t.co/YovytQg9k,0.0,0.0,1.0,0.0,Neutral
122,@jaicabajar grabe when he said a thief bbm immediately ???@Themadamely oy please camp it @bongbongmarcos you are dropping.,0.108,0.185,0.706,-0.3899,Negative
123,"• For the betterment of this country and to continue the legacy of Pres.Duterte.I hereby announce, Mr.Bongbong Marcos is my president along with Mayor Inday Sara Duterte for the VP position ♥ ️💚
""",0.0,0.0,1.0,0.0,Neutral
124,@kurotteyrr807 @gmanews @bagbongmarcos rather than trying to explain to you why this isn't a big deal let's rather try finding the answer for this question ... why do you think this story did not become a big deal?This was broadcasted by ABS-CBN News and was interviewed by 3 people and yet nothing happened.,0.0,0.0,1.0,0.0,Neutral
125,"Have you seen this reporter’s review: Lian Buan on Bongbong Marcos?

Good luck #Philippines nalang really if you are going to be elected.
 
If only, there's not too much media bias towards Dilawans, fanatics would have thought otherwise 🤦‍♂️

 https://t.co/0g9Kaxea2p via @youtube",0.127,0.03,0.842,0.6705,Positive
126,"So amazing because everywhere I go, I meet someone who supports @lenirobredo, but almost everyone I meet is a @bongbongmarcos supporter.#someonevseveryone",0.223,0.0,0.777,0.51,Positive
127,"What's that?Double Dead?Stop the mania.Manang inheritance to @bongbongmarcos.That's stupid, pay attention.",0.0,0.364,0.636,-0.6322,Negative
128,"R. I. P KA BBM
😭😭😭
@bagbongmarcos
#BBMSARA2022 https://t.co/lajzMNFCQT",0.0,0.0,1.0,0.0,Neutral
129,Reporter’s Review: Lian Buan on Bongbong Marcos https://t.co/AZHQUGAFYD via @youtube,0.0,0.0,1.0,0.0,Neutral
130,@Mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 https://t.co/xsl4e2ft52,0.0,0.0,1.0,0.0,Neutral
131,@Notajaydy @bagbongmarcos Justice for the victims of fake news and red tagging,0.191,0.303,0.506,-0.25,Negative
132,I encourage @bagbongmarcos uniteam to offer a one minute silence during the meeting de avance later for the death of a student who was bullied because of his political belief which led him to end his own life…,0.076,0.185,0.739,-0.6908,Negative
133,"@ishiebitsy @iamcharotism @bongbongmarcos bat naman sya makis register with me.Tsk.Get up, stupid.",0.0,0.236,0.764,-0.5267,Negative
134,Reporter’s Review: Lian Buan on Bongbong Marcos https://t.co/XMNFDAQ1YV via @youtube,0.0,0.0,1.0,0.0,Neutral
135,"@eragon2024 @LaHangigap @hampoyjampoy @bagbongmarcos You Kapampinks have been soo annoying lately.I don't support Marcos but you guys are always barking about 2016 result.Are you guys that dumb that you don't see that he used 2016 as a dry run for president?If he won in 2016, he wouldnt even be favorite to win in 2022",0.15,0.163,0.687,0.2734,Positive
136,Great weekend for democracy.May 8 US-sanctioned #Johnlee will be installed as Chief Executive of Hong Kong is a one horse race.The day after #bagbongMarcos the son of Dictator Ferdinand Marcos will win the Philippines election w Duterte's daughter Sara on the ticket.,0.176,0.0,0.824,0.836,Positive
137,"Bongbong Marcos - 58%
Robredo Leni - 25%

My vote goes to BBM ❤️❤️❤️ Let's win to the Philippines!https://t.co/wipiroltew",0.204,0.0,0.796,0.6239,Positive
138,"[10] Happy Mother's day to all, especially to those who are disgraced by their children.

I am voting for Bongbong Marcos, if you don't like my post, sorry but I am not sorry.",0.068,0.178,0.754,-0.2035,Negative
139,@Maroroski1 @gmanews @bongbongmarcos see?🤣🤣🤣 Blind,0.0,0.403,0.597,-0.4019,Negative
140,@Jasonon71521595 @mj__mondejar @bagbongmarcos @indaysara @smninews @dzar1026 you are crying at home and watching live hahahhaha,0.0,0.181,0.819,-0.4767,Negative
141,"@Moniqu3n @bongbongmarcos @senimeemarcos @sandromarcos7 ok let's assume high on drugs then.What matters is what is now Nikki Coseteng.Has people changed, is it still using drugs?Or maybe he was a good father and wife.We all go through the dark state of life.",0.144,0.0,0.856,0.6369,Positive
142,"@Angelajester2 @niftyneels @craigsrex @fritzcat2016 @ambassacatbxl @eireoquinn @eliot01375004 @marina935home @suzpilks @Valinvigo @chihuapoo @2shea7 Exactly.Talking of politics, I hear that Ferdinand Marcos' son Bongbong Marcos is hoping to win the presidential election in the Philippines.His father was a butcher and dictator.No wonder the locals are nervous.",0.138,0.044,0.818,0.6705,Positive
