,Translated_Tweet,Positive,Negative,Neutral,Compound,Sentiment
22,"For those people saying you're weak, no, you're not!With so much courage and strength you want us all to lift.Thank you, VP @lenirobredo 😭❤ We will win you, Sen Kiko because you are deserving and we also deserve a good leadership 🌷❤",0.277,0.094,0.629,0.8711,Positive
23,Those genuine and sincere eyes of yours VP @lenirobredo thank you po! 😭 Because of your hardwork and heart for the Filipinos that's the proof of how much deserving you are to be our next president.++,0.134,0.088,0.779,0.2244,Positive
24,@ForgwenandBlake @lenirobredo virtual hugs to Mom/Grandma Lavinia.Please take care of her.💗🌸💐,0.416,0.0,0.584,0.7506,Positive
25,Good morning!One last stretch for @lenirobredo and @kikopangilinan !!!!Let's win this!💖,0.466,0.0,0.534,0.8346,Positive
26,@Adriennevergara @lenirobredo @kikopangilinan @genshinimpact pulling for C6 years of leni-kiko leadership manifesting,0.0,0.0,1.0,0.0,Neutral
27,"@Chiecastillo26 @bansoj @lenirobredo @ogiediaz @pokwang27 @net25tv @news5ph @abscbnnews @gmanews just me, water steward.
😁😂🤣",0.0,0.0,1.0,0.0,Neutral
28,@tongietobes @tarrayofam @lenirobredo I know right!I feel that I have been collapsed,0.0,0.21,0.79,-0.3382,Negative
29,"@Lenirobredo Naga, let's borrow Leni Robredo for six years.You're jealous, it's probably good to feel like Bicolano now.#Nagaispink",0.231,0.128,0.641,0.34,Positive
30,@Aai_ceniza those toxic supporters seriously kill dictator communist your supporters,0.319,0.352,0.33,-0.1531,Negative
31,Even if I can't go for 6 yrs just win Leni Robredo,0.297,0.0,0.703,0.5859,Positive
32,"Valenzuela is pink!

Valenzuela City is known to be a ""Red City"" because of the Gatchalians.But last night, Valenzuelanos proved that on Monday ...

We will make a stand.@lenirobredo
@kikopangilinan @Aikarobredo
#ValpinkinYourarea
#Makatiispink
#IPANA7ona10PAREHALITAHAH",0.0,0.0,1.0,0.0,Neutral
33,Hundreds are already gathered along Ayala Avenue for Leni Robredo's final campaign rally this evening (photo taken just before 6am) https://t.co/9s9sweygeb,0.0,0.0,1.0,0.0,Neutral
34,"I'm having major #sepanx just now, but the possibilities & amp;Opportunities of a @lenirobredo and @kikopangilinan leadership makes me more excited.I'm excited to say again, ""I'm a proud Filipino and I love the Philippines.""#IPANA10NATINPAREWALAHAL #Lenikikiko2022 #makatiispink",0.317,0.0,0.683,0.9379,Positive
35,#dzrhbiased @dzrh why did you create a soft campaign interview for Bong Bong Marcos today.Without VP @lenirobredo.BBM's Mother Campaign Broadcaster.Did you invite @lenirobredo for his side?,0.139,0.0,0.861,0.4019,Positive
36,"Our next president of the Republic of the Philippines is the one and the only pres.Leni Robredo.

Manifesting🙏🙏🙏",0.0,0.0,1.0,0.0,Neutral
37,@Lenirobredo means you are right there right away.😂😂😂,0.0,0.0,1.0,0.0,Neutral
38,"Good luck with Pinas 😇

#Makatiispink #lenirobredo

https://t.co/PYKSS1Weil",0.541,0.0,0.459,0.7096,Positive
39,My vote this election will go to VP Leni Robredo!,0.0,0.0,1.0,0.0,Neutral
40,"The hope and sanity delivered by @lenirobredo @kikopangilinan and @genshinimpact helped saved our lives from spiralling down to Abyss!JUSQLerd Hope we win 50/50 on May 9 !!!All primogems, resin, ascension materials as well as Welkin and BP are ready!Ad Astra Abyssosque!🌸 https://t.co/QBevpnk1iq",0.303,0.0,0.697,0.94,Positive
41,@Lenirobredo imong Iro released,0.0,0.0,1.0,0.0,Neutral
42,@lesyyeuxdeninii Leni Robredo! ✨,0.0,0.0,1.0,0.0,Neutral
43,"Good day, maam @lenirobredo please win next week.The Marcos will be charged with their accountability in the country.Recover all their ill-gotten wealth so that they will no longer fund the trolls and the next campaign.We believe and rely on you.🌸",0.243,0.08,0.677,0.8481,Positive
44,"Someone really likes it eh.Mam at the end Pila 😃 There is no Presidenr Leni Robredo in the queue
CTTO PIOLO PASCUAL
 #Makatiispink https://t.co/tsatwsn3ia",0.118,0.084,0.799,0.2247,Positive
45,And @lenirobredo can't even tell her followers to learn to respect the choices of others!You are just as equally liable for Fred's suicide.You st*pid c*nt.May you ferment in H3ll forever.https://t.co/V7MXXXVD4,0.105,0.0,0.895,0.5255,Positive
46,DAE YOU KNOW SAN ORAGON !!!We will win!💗🌺 #iPanalona10to #BicolregionIpepink @lenirobredo @vppilipinas https://t.co/zgo2uil2rz,0.0,0.0,1.0,0.0,Neutral
47,@lenirobredo say goodbye to Lenlen.That's the Omen,0.0,0.0,1.0,0.0,Neutral
48,"Leni Robredo is our next president.
Kiko Pangilinan is our next vice president.
Manifesting and claiming!💗🌸🌷🎀🫰🏼
#LetLenikikolead
#Along life
#Kakampink",0.0,0.0,1.0,0.0,Neutral
49,@Jq16645145 @lonethinkanktank @daveyazores @lenirobredo and did they say that pink is one of the rainbow's colors?,0.0,0.0,1.0,0.0,Neutral
50,@sellyyy_ @brujadeldemonio @lenirobredo 😭 Three tears .. what is that,0.0,0.192,0.808,-0.2263,Negative
51,"""I am standing for Leni Robredo""

#IPANA7ona10PAREHALITAHAH
#Lenikiko2022
#LeniisiRpresident https://t.co/FUFXPW8NSB",0.0,0.0,1.0,0.0,Neutral
52,"Interview with @lenirobredo: No to nationwide lockdowns;'Ironing my clothes has become my form of relaxation'

#Lenikiko2022 #LenirObredo #LenikikikoLTheway

https://t.co/uxm1uhopu0",0.15,0.097,0.752,0.296,Positive
53,"My Mothers Side are from Mariroc, Tabaco, Albay 🏔 May Your Wish Be Granted VP @LenirObredo

Also, I've done my homework, my husband from Isko.💚💚💚💖💖💖🙏🙏🇵🇭🇵🇭🇵🇭",0.176,0.0,0.824,0.5719,Positive
54,"@lenirobredo I really like the way @kikopangilinan stays just a step behind @lenirobredo when they walk --- it gives a subtle yet clear message of respect, selflessness, support, partnership

#LeniisiRpresident
#Kikoisourvp",0.318,0.0,0.682,0.8805,Positive
55,@awesomira @lenirobredo k stands for losers,0.0,0.459,0.541,-0.5267,Negative
56,"- Come on Mam Leni I'll deliver you to Malacañang @lenirobredo

#MitingDeavance
#IPANA7ONA10PARALALAHIT https://t.co/cqhay3jt6k",0.0,0.0,1.0,0.0,Neutral
57,"I took the blind test and my top candidate was Leni Robredo.

 https://t.co/FGLISSEVCH",0.124,0.186,0.69,-0.2263,Negative
58,"2022 Philippine Election: Manila- 'liar from the beginning till end'- Leni on Bongbong
/
MANILA - May 01: VP Leni Robredo addresses the Crowdon May 1, 2022 in Manila, Philippines.Robredo hits back at the disinformation from the Marcos Camp Branding Bongbong A “Liar”.https://t.co/27OGGGZWOQ",0.0,0.078,0.922,-0.5106,Negative
59,@Jantifona @lenirobredo 🙏 💌,0.0,0.0,1.0,0.0,Neutral
60,"Blue-Tick Twitter seems to be mostly championing Leni Robredo in the Philippines election, so I instinctively feel a Bongbong Marcos presidency must be best for the rest of the world.",0.212,0.0,0.788,0.7906,Positive
61,"Leni will win💯👆

#LenirObredo",0.0,0.0,1.0,0.0,Neutral
62,"I was under the impression that @Lenirobredo's backers are as follows: USA and Communists (among others), see the contradiction right there?McCarthy anyone?If anything, Jhonson's puppy and Reagan are Apo Marcos, stop it.",0.055,0.132,0.813,-0.3939,Negative
63,"Good morning, ohayō, nice morning moots and #kakampinks

Congrats #Nagaispink!

RP = Republic of the Philippines, after May 9, it will be Robredo-Pangilinan!#Ipana7ona10paraalawahat pra

@lenirobredo (10) is my President, @kikopangilinan (7) is my VP!🌸🌷 https://t.co/pnishwtbvb",0.243,0.0,0.757,0.8743,Positive
64,✨PRESIDENT LENI ROBREDO CUTIE✨,0.0,0.0,1.0,0.0,Neutral
65,"Leni Robredo Oragon Personified 💪🏼😉
#Bicolana #Pilipina 🇵🇭 https://t.co/mobkruydj2",0.0,0.0,1.0,0.0,Neutral
66,"We need your help!Let's go, let's win this!For pink open! 🌷🌸💓

#Lenikiko2022 #LenirOBredo #Kikopangilinan #kakampink #LetLenikikolead https://t.co/impni575VL",0.226,0.0,0.774,0.6884,Positive
67,@Bamaquino Happy Birthday Sen.@bamaquino!Thank you for the campaign for VP @lenirobredo and Sen.@kikopangilinan.Long live the troops!🙏🏻,0.222,0.0,0.778,0.6467,Positive
68,@Lenirobredo tell your nasty supporters not to harass our church chapel!I thought you were learning you guys but rude!,0.147,0.268,0.585,-0.6273,Negative
69,@lenirobredo 1m Makati,0.0,0.0,1.0,0.0,Neutral
70,Ingats to all of you who will go to @lenirobredo's #MitingdeAVANCE rooting for Yall.🥹🫶,0.0,0.0,1.0,0.0,Neutral
71,@lenirobredo it is a good sign.🙏💕🌷🇵🇭,0.42,0.0,0.58,0.4404,Positive
72,hahaha ayan they have a receipt madumb @lenirobredo,0.375,0.0,0.625,0.5574,Positive
73,"2 days to go |10 Leni Robredo

#IPANA7ona10PAREHALITAHAH
#Lenikiko2022
#GOBYERNongPaLapat Life Https://t.co/xhy1ifalm9",0.0,0.0,1.0,0.0,Neutral
74,@Maamsyj there you go.Don't blame the hashtag and spread the hashtag in suicide.Their ploy is blamed for pink.We're too clicking.@Pinoyakoblog @Batangpink2022 @ogiediaz @ogie_rosa @lenirobredo,0.075,0.114,0.811,-0.2649,Negative
75,@piolopascual_ph kilig yarn?@lenirobredo,0.0,0.0,1.0,0.0,Neutral
76,@forgwenandblake @lenirobredo galing!Love you Grandma Bing!😍,0.0,0.0,1.0,0.0,Neutral
77,@hierophanticreb @forgwenandblake @lenirobredo yan tayo eh.Rally nanaman blame,0.0,0.255,0.745,-0.34,Negative
78,"@junleebee the president Leni Robredo!🌸
Vice President Kiko Pangilinan!🌾",0.0,0.0,1.0,0.0,Neutral
79,"Although I have not been involved in your rallies/h2h/meeting de avance vp @lenirobredo because of acad reasons, you will still choose the election.😇🙌",0.0,0.0,1.0,0.0,Neutral
80,VP @LenirObredo and Sen @kikopangilinan won my birthday 😭😭✨,0.316,0.0,0.684,0.5719,Positive
81,"#Newprofilepic
President Leni Robredo next week cutie https://t.co/Mav4YQEI1Z",0.263,0.0,0.737,0.3612,Positive
82,@Simputungunggong @lenirobredo sir no 'lang'.You are part of the society in which we are in the society.Just stand by the right and righteous people just like you.👍,0.084,0.074,0.842,0.0772,Positive
83,"@ForgwenandBlake @remymartian @lenirobredo @kikopangilinan Heartbreaker ....
#walangsolidnorth
#Kakampinks
GOD BLESS US ALL, GOD BLESS THE PHILIPPINES",0.473,0.119,0.408,0.8602,Positive
84,Religious groups gather along Ayala Avenue in the Philippines' Financial District of Makati Hours before Leni Robredo is set to deliver a speech for her final campaign rally https://t.co/4DFJDDamu0,0.0,0.0,1.0,0.0,Neutral
85,VP @lenirobredo and Sen.@kikopangilinan receipt nyo po!1,0.0,0.0,1.0,0.0,Neutral
86,"Day7/9 Prayer for the Philippine Elections 2022
Lord, please let the good & amp;qualified people win the presidential & amp;Vice Presidential Seats.Let Madam Leni Robredo & Amp;Sir Kiko Pangilinan win thru the intercession of our Virgin Mary.Claiming it in Jesus name, Amen.",0.268,0.0,0.732,0.9153,Positive
87,@ForgwenandBlake @lenirobredo @kikopangilinan https://t.co/QDouhhipdh,0.0,0.0,1.0,0.0,Neutral
88,"WATCH:
-Pre-shaded in Maguindanao fraud, Leni Robredo is the only content of ballots/ nashedan ,,

https://t.co/VGKBRWG9LR",0.0,0.202,0.798,-0.5859,Negative
89,@Rachielle16 @lenirobredo @kikopangilinan welcome back to the philippines 💕#Letlenikikolead,0.273,0.0,0.727,0.4588,Positive
90,@forgwenandblake @lenirobredo sana di nyo nyo.The crowd is dangerous for his health.We still need every number of our votes,0.061,0.145,0.794,-0.4215,Negative
91,"@gdg3 leni robredo left the earth 😂😂😂✌️✌️✌️

❤️💚🇵🇭",0.0,0.0,1.0,0.0,Neutral
92,@falamag @dprofilipino @luispen7 @pinoyakoblog @lenirobredo Who would they vote for in the president?Is Vpleni or their kaleody?Asking for a friend.,0.165,0.0,0.835,0.5514,Positive
93,"Because we only have the benefit of what is important to him to truly be life -long life.

We will win this @lenirobredo !!https://t.co/ldwvoaqwtd",0.377,0.0,0.623,0.9018,Positive
94,"@jose_dot_ph @sotto_tito @lenirobredo @kikopangilinan I couldn't agree more.Envy, Pikit.",0.0,0.232,0.768,-0.2755,Negative
95,"Can't go to the final meeting de avance but @lenirobredo @kikopangilinan and the Tropang Angat will vote for me on Monday !!

Let's win this!

#Makatiispink #Ipanalona10to
#Lenikiko2022 #MeetingDeavance",0.178,0.0,0.822,0.795,Positive
96,@ogiediaz @lenirobredo just enjoy watching actually ... 💗🌸,0.314,0.0,0.686,0.4939,Positive
97,"@jedikristina @bagbongmarcos @ernieabella @iskomoreno @Lenirobredo @leodymanguper @mannypacquiao @nbgonzalesph @iampinglacson @senleiladelima you tell that to the courts, kakam copypaste.Not even the President can interfere with the judiciary.But trolls like you just dont understand, do you?

tsk.800 million pesos and you still cannot buy comprehension.or a brain ..",0.054,0.0,0.946,0.3612,Positive
98,@Sellyyy_ @Lenirobredo Anupayannnn ....😭,0.0,0.0,1.0,0.0,Neutral
99,"1st -free photo ops with South Korea Nation's Pick Boy Group - Exo, Chanyeol & Amp;Suho
2nd-A Group of Senior Citizen w/ Fairy Headbands
3rd-A Group of Men Collecting Trash under the Heat of Sun
4th-an arc welcoming everyone
#Nagacityispink #lenikiko2022 @lenirobredo @kikopangilinan https://t.co/lxv4wjifds",0.134,0.0,0.866,0.7351,Positive
100,"@jaehahi33 true, she was also campaining #lenikiko2022 tandem.Haha .. That's why she showed up !!

#LenirObredo
#KikoForVicePresident2022
#LeniisiRpresident
#Along life
#LifeBicolandia",0.145,0.0,0.855,0.5242,Positive
101,President Leni Robredo Cutie🥰🌸,0.0,0.0,1.0,0.0,Neutral
102,@daenaocampo @lenirobredo ritm po kayo?,0.0,0.474,0.526,-0.5574,Negative
103,@lenirobredo sign of affirmation mam leni❤❤❤,0.0,0.0,1.0,0.0,Neutral
104,"As we enter the last day of campaigning,
@bagbongmarcos @ernieabella @iskomoreno @lenirobredo @leodymagawoka @mannypacquiao @nbgonzalesph @iampinglacson, I ask you to stand for truth and justice #pledgestofreela @senleiladelima if elected.
#Phvote #Election2022 https://t.co/n5FTA2Kneq",0.164,0.0,0.836,0.6908,Positive
105,"Win or lose, thank you VP @lenirobredo for a little while, we felt that it was still good to be Filipino.And no matter what, we will continue to stand up for the people.",0.25,0.119,0.631,0.6597,Positive
106,Pinks would really disrespect anything against Leni Robredo's candidacy without hesitating because the candidate is the number one role model of the pinks.,0.126,0.117,0.757,-0.1918,Negative
107,"Ate @reginevalcasid, please, sing later the written in the sand at President @lenirobredo's avance meeting, but you are just opposite the manila pen 🙏 #makatiispink #iboton10pilipinas",0.064,0.0,0.936,0.1655,Positive
108,"Good morning!Let's Manifest in the Universe VP Leni's win soon to be President Leni Robredo!

VP Leni will win
VP Leni will win
VP Leni will win
VP Leni will win
VP Leni will win
VP Leni's MananSlo
VP Leni will win",0.469,0.0,0.531,0.985,Positive
109,President of all colors.Let's win the Philippines under the leadership of Leni Robredo !!!#CAPSLOCKPARAINTENSE,0.265,0.0,0.735,0.6884,Positive
110,@iambjean @lenirobredo dengue.Downhill downward platelets,0.0,0.0,1.0,0.0,Neutral
111,@_elmer_cruz_2 @lenirobredo @kikopangilinan 🌸🇵🇭 #pilipinasispink #pinklipinas,0.0,0.0,1.0,0.0,Neutral
112,@danathelacuesta @lenirobredo thanks my friend,0.67,0.0,0.33,0.7269,Positive
113,Leni Robredo: The Woman Leading The Philippines' 'Pink Revolution' https://t.co/4RoEgeuhxg,0.0,0.0,1.0,0.0,Neutral
114,Leni Robredo: The Woman Leading The Philippines' 'Pink Revolution' https://t.co/ID2EJGRJBT,0.0,0.0,1.0,0.0,Neutral
115,"VP @lenirobredo, Mom, sorry Maaaa.It seems like I can vote for the committee 😿",0.181,0.094,0.725,0.296,Positive
116,"Not Mayon Volcano waving a farewell and good luck wave to our VP Leni Robredo.

She will win!
She can lead!",0.377,0.0,0.623,0.8829,Positive
117,@lenirobredo showed up because he was leaving bed meaning he didn't want to,0.0,0.092,0.908,-0.0572,Negative
118,VP @lenirobredo you win that pls,0.56,0.0,0.44,0.6249,Positive
119,@Alakdan1102eric @LenirObredo The BBM-Sara Team🤮,0.0,0.0,1.0,0.0,Neutral
120,@arn_carpas @lenirobredo garapal really,0.0,0.0,1.0,0.0,Neutral
121,"@raddocpopco @daenaocampo @lenirobredo yes.Now that I'm on an island in Palawan, I found out he was the first of those who came up with help",0.105,0.0,0.895,0.4019,Positive
122,@MahalDelmundo @dzrh5 @bagbongmarcos @indaysara @dzrhnews @lenirobredo @kikopangilinan @comelec hahahah!Monkey ampota !!,0.0,0.0,1.0,0.0,Neutral
123,"@auntie_pinky @lenirobredo slept but in plural form.Curious is singular.Example po

""I crushed at eleven o'clock"" in Tagalog it's ""I slept at 11pm""
""They are shocked to be"" in Tagalog it's ""they slept side by side""",0.0,0.265,0.735,-0.9109,Negative
124,Energy for @lenirobredo 🌷 #IPANA10NatinParakatahath https://t.co/7Z8VVTSEP5,0.344,0.0,0.656,0.2732,Positive
125,"Good morning po VP @lenirobredo!My mommy's birthday today.I hope you see it and you can greet him hehe 😊
#Lenikiko2022 #makatiispink #mitingdeavance",0.289,0.124,0.586,0.5848,Positive
126,@a_cortavista27 @lenirobredo @lenirobredo please answer thanks 😌,0.565,0.0,0.435,0.6369,Positive
127,"@aileen_lheng @jervismanahan @lenirobredo @abscbnnews the question too, Raybver Cruz...Who is his president? 😁",0.0,0.0,1.0,0.0,Neutral
128,"It's still early but there are so many people..whaahh..I just finished bathing and still at home hahahahaha ... even near the LED screen we can just sit later..but for vp @lenirobredo, sen @kikopangilinan and the town..
#Makatiispink
#Lenikiko2022
#LenikikoAllTheway2022",0.0,0.0,1.0,0.0,Neutral
129,VP @LenirObredo Sen @Kikopangilinan IPANA7O NA NA!We are so young 🌸🌸🌸🌷🌷🌷,0.0,0.0,1.0,0.0,Neutral
130,@my_luckycharm @jairojourno @rapplerdotcom @lenirobredo @barrygutierrez3 @lawyersforleni right.Puro fake news because they are.All the issues are not even true!,0.0,0.263,0.737,-0.6931,Negative
131,@coycharisma @Aikarobredo @lenirobredo @prinsesachinita @vicegandako @iamsuperbianca @pokwang27 @gabvalenciano @mariajolina sa inodoro po?✌👊,0.0,0.0,1.0,0.0,Neutral
132,"@UNTMFTW0097 Let's vote for Leni Robredo and Kiko Pangilinan, #IPANA7ONA10PAREHALITAHAH",0.0,0.0,1.0,0.0,Neutral
133,"'Other kind of love'

LOOK: Presidential candidate Vice President Leni Robredo thanks supports who attended the Leni-Kiko Grand Rally in Naga, Camarines Sur on Friday.#Voteph #ourvoteourfuture |📷VP Leni Robredo https://t.co/O96QTLEDFG",0.321,0.0,0.679,0.9063,Positive
134,Join us!Pray against demonic forces that are influencing the campaigns.May God suppress their bold attacks and blind them.@bamaquino @Rowena_Guanzon #LenDallawsadal Dark #Lenikiko #leni #Lenikiko2022 @lenirobredo @cavitenos4leni #makatiispink #mitingdeavance #cbcp frripperger https://t.co/cgvystlr4j,0.185,0.144,0.67,0.1511,Positive
135,I trust my instinct.@Lenirobredo will win,0.703,0.0,0.297,0.7964,Positive
136,@Kittypops2 @UNTMFTW0097 Let's Vote for Leni Robredo and Kiko Pangilinan,0.0,0.0,1.0,0.0,Neutral
137,"@Dwarrior_granny @bamaquino @trillanessonny @lawyersforleni vp @Lenirobredo @kikopangilinan @bamaquino @barrygutierrez3 @trillanessonny, we will be vigilant but we trust that the troops angat will do their best also to protect our votes/ballots.God will do the rest like what he did to VP Leni when he won in 2016 against all odds.",0.351,0.0,0.649,0.9758,Positive
138,"So here is what “good morning” really means.My teacher in elementary just said he was proud of me.It's funny because I only hear someone proud of my decision in life.Ma'am VP @lenirobredo I believe in you, you will win Jesus name https://t.co/880RFB7A01",0.264,0.0,0.736,0.9169,Positive
139,"VP @lenirobredo @kikopangilinan @bamaquino @barrygutierrez3 @trillanessonny, we will be vigilant but we trust that the Tropang Angat will do their best also to protect our votes/ballots.God will do the rest like what he did to VP Leni when he won in 2016 against all odds.",0.374,0.0,0.626,0.9758,Positive
140,@Jervismanahan @lenirobredo @abscbnnews grabe yan,0.0,0.0,1.0,0.0,Neutral
141,@iamwhatiam300 @untmftw0097 on May 9 we vote for Leni Robredo and Kiko Pangilinan,0.0,0.0,1.0,0.0,Neutral
142,@Lenirobredo Win110 toooo !!!,0.0,0.0,1.0,0.0,Neutral
143,"@10sa_balota @lenirobredo please correct the infographic.Magsaysay Avenue is not in Sorsogon City but Naga City.It should be Naga City, Camarines Sur.",0.076,0.0,0.924,0.1655,Positive
144,"Last day of the campaign.See-kits in Ayala.We will win you VP Leni Robredo and Sen.Kiko Pangilinan!

#Makatiispink
#Lenikiko2022
""
#GOBYERNongPapat Life",0.177,0.0,0.823,0.6239,Positive
145,Why are you like this ???????This photo was taken when there is currently a Bible study inside the church.And these disrespectful supporters of VP @lenirobredo are shouting and chanting.You're so bad.Church chapel is a sacred place - https://t.co/ahbazgzlsb,0.162,0.0,0.838,0.7476,Positive
146,"I'll vote VP @lenirobredo.But that's not it, there are some.",0.0,0.0,1.0,0.0,Neutral
147,"@Sv_teschen @dzrh5 @dzrhnews @bagbongmarcos @indaysara @lenirobredo @kikopangilinan @comelec hahahah!You guys!In our BBM and DDS Chilax Chilax only because of the 70percent of the Filipino vote, BBM is already available",0.0,0.0,1.0,0.0,Neutral
148,@zzzxxx074ABCDEF @misscathyalag @fgdelafuente @lenirobredo @saabmagalona @misscathyalag,0.0,0.0,1.0,0.0,Neutral
149,@forgwenandblake @lenirobredo @kikopangilinan god is in control.🌺🌸🪷,0.259,0.0,0.741,0.2732,Positive
150,"@forgwenandblake @lenirobredo mom, let's fight.Take care always",0.348,0.0,0.652,0.4939,Positive
151,@Rachielle16 @lenirobredo @kikopangilinan nice!,0.508,0.0,0.492,0.4753,Positive
152,@veaveem Leni Robredo are you like that too?,0.263,0.0,0.737,0.3612,Positive
153,@cj_lagne @2002kyline Welcome to Patal Republic of Bicol!Here he returns as Mrs Robredo.This is the only one he can win the region eh.The rest solid waste.Patalon!Simpre will take care of both Leni Robredo candidates,0.289,0.0,0.711,0.9039,Positive
154,Can we see VP @lenirobredo crying later?Good luck mami🌸 We're ready to color the rose tomorrow with you.,0.233,0.131,0.636,0.34,Positive
155,@falamag @luispen7 @pinoyakoblog @lenirobredo totally agree👍,0.0,0.0,1.0,0.0,Neutral
156,@Dwarrior_granny @bamaquino @trillanessonny @lawyersforleni so they think people have been conditioned since BBM/Sara thru fake surveys declared candidacy.Even Digong and @Comelec say they are neutral.But all their decisions are all favoring BBM/Sara & amp;none favoring vp @lenirobredo & amp;Sen @kikopangilinan.May God help us!,0.215,0.062,0.723,0.7644,Positive
157,"@Lenirobredo VP Leni, Ipapanalona10to!",0.0,0.0,1.0,0.0,Neutral
158,@forgwenandblake @lenirobredo @kikopangilinan maybe 100 times I've cried this song.,0.0,0.224,0.776,-0.3818,Negative
159,"Happy birthday po sir @bamaquino 🎉🎉🎉
Thank you for the wonderful plan for VP @lenirobredo campaign
#IPANA7ona10PAREHALITAHAH",0.374,0.136,0.491,0.743,Positive
160,@ibanagininthecity @lenirobredo prefer to wear a different color in the election ...,0.0,0.0,1.0,0.0,Neutral
161,Knowing that it is difficult for him,0.0,0.294,0.706,-0.3612,Negative
162,"See you later on Mama's Mama @lenirobredo lights💗🫰

If you see me you are hi hi

#Lenikiko2022 https://t.co/PGNVGATIH6",0.0,0.0,1.0,0.0,Neutral
163,"I am one of the support of Vice President @lenirobredo and @kikopangilinan with the senatorial slate troops for the town we have long dreamed of.Come on, join us to color our future rose!
#LetLenikikolead
#SagobyernongPapatag Life Life Https://t.co/P6KI5TF2SB",0.129,0.0,0.871,0.636,Positive
